state.abb,state.name,id,geo_id,year,name,category,total_liabilities,current_liabilities,total_assets,current_assets,compensated_absences,expenses,revenues,unrestricted,population,urban_pop,pct_urban_pop,median_hh_income_21,url,modified_revenues,net_pension_liability,net_opeb_liability,assets_liab_ratio
NE,Nebraska,35432,31000,2020,Nebraska,General Purpose,3728215000,2771920000,18858875000,0,135694000,10762105000,11108805000,1017701000,1961489,1432003,73.005357113725,66949,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NE/State%20of%20Nebraska/NE%20State%20of%20Nebraska%202020.pdf,-2425220000,254485000,14816000,0.19769021216801108
NV,Nevada,35504,32000,2020,Nevada,General Purpose,10676834000,4013010000,21296697000,0,118600000,17155807000,16771174000,0,3104624,2921203,94.0923090599991,66194,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NV/State%20of%20Nevada/NV%20State%20of%20Nevada%202020.pdf,-4397643000,2290134000,810288000,0.5013375548330335
NH,New Hampshire,35545,33000,2020,New Hampshire,General Purpose,6048361000,1671862000,8307536000,0,106978000,8845705000,8682854000,-2992914000,1377518,803420,58.323273049061,88268,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NH/State%20of%20New%20Hampshire/NH%20State%20of%20New%20Hampshire%202020.pdf,-1834713000,941421000,1793348000,0.7280571519641925
NJ,New Jersey,40624,34000,2020,New Jersey,General Purpose,213903087870,7930629785,54675275295,0,491700000,75507590895,73616040355,-216321336700,9289031,8708779,93.7537369493403,89227,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NJ/State%20of%20New%20Jersey/NJ%20State%20of%20New%20Jersey%202020.pdf,-9822180325,90811867346,65491562252,3.9122452830074956
NM,New Mexico,82166,35000,2020,New Mexico,General Purpose,14617951000,3134067000,47762954000,12259898000,182688000,21701968000,23558395000,0,2117527,1578552,74.5471357558505,54304,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NM/State%20of%20New%20Mexico/NM%20State%20of%20New%20Mexico%202020.pdf,-1277640000,5598463000,1159319000,0.30605207123495753
NY,New York,42220,36000,2020,New York,General Purpose,188872000000,42103000000,177327000000,0,1358000000,191143000000,189989000000,0,20201230,17665166,87.4459099038876,74230,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NY/State%20of%20New%20York/NY%20State%20of%20New%20York%202020.pdf,-43257000000,4222000000,66005000000,1.0651057086625275
NC,North Carolina,40620,37000,2020,North Carolina,General Purpose,29040557000,9927529000,85957987000,0,619350000,57168095000,59639395000,-691590000,10439414,6964727,66.7158553738974,61997,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NC/State%20of%20North%20Carolina/NC%20State%20of%20North%20Carolina%202020.pdf,-7456229000,2660223000,6121923000,0.33784594094787257
ND,North Dakota,1241002,38000,2020,North Dakota,General Purpose,8078745996,3719043616,34196932678,0,89933000,8356617731,9740177279,11530316125,779091,474989,60.9668409716928,67603,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ND/State%20of%20North%20Dakota/ND%20State%20of%20North%20Dakota%202020.pdf,-2335484068,572810486,40443754,0.23624183116274988
OH,Ohio,36835,39000,2020,Ohio,General Purpose,55081480000,11508828000,83340781000,0,561516000,79045522000,79125001000,0,11799374,9001099,76.2840685428674,62286,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/State%20of%20Ohio/OH%20State%20of%20Ohio%202020.pdf,-11429349000,4601354000,-2669591000,0.6609186923746251
OK,Oklahoma,37320,40000,2020,Oklahoma,General Purpose,7276923000,4097748000,29968762000,0,177538000,22793625000,23510595000,0,3959346,2558611,64.6219470706451,55829,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OK/State%20of%20Oklahoma/OK%20State%20of%20Oklahoma%202020.pdf,-3380778000,282728000,120911000,0.24281693718279054
