"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"316","FL","Florida",32262,"12127",2021,"volusia county","General Purpose",440949618,111343635,106783326,4093510,41434258,0,0,0,34165582,568777160,708770615,0,553561,506287,0.914629938414902,58246,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Volusia%20County/FL%20Volusia%20County%202021.pdf"
"317","FL","Florida",32262,"12127",2022,"volusia county","General Purpose",657641552,132832581,289303824,4068514,38347405,NA,2144079408,210102342,35031639,631087048,749804565,158783617,553561,506287,0.914629938414902,58246,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Volusia%20County/FL%20Volusia%20County%202022.pdf"
"318","PA","Pennsylvania",43076,"42071",2020,"lancaster county","General Purpose",369119890,37517998,4582966,0,110146185,0,0,0,7133809,299441574,329406010,-146845287,552969,398837,0.721245099315713,75619,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Lancaster%20County/PA%20Lancaster%20County%202020.pdf"
"319","PA","Pennsylvania",43076,"42071",2021,"lancaster county","General Purpose",373376219,103753851,0,24396495,73044011,0,0,0,6655229,246371288,307145755,-93776511,552969,398837,0.721245099315713,75619,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Lancaster%20County/PA%20Lancaster%20County%202021.pdf"
"320","PA","Pennsylvania",43076,"42071",2022,"lancaster county","General Purpose",388396516,99486448,42896223,0,60855913,0,528509034,212832820,6583220,280305048,316402621,-72478515,552969,398837,0.721245099315713,75619,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Lancaster%20County/PA%20Lancaster%20County%202022.pdf"
"321","CA","California",31724,"06099",2020,"stanislaus county","General Purpose",1042882524,199733235,586184537,0,30436216,0,0,0,38987565,1324738173,1305743178,0,552880,507705,0.918294813684032,73151,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Stanislaus%20County/CA%20Stanislaus%20County%202020.pdf"
"322","CA","California",31724,"06099",2021,"stanislaus county","General Purpose",1178765555,195847934,723068347,0,31356064,0,0,0,39650581,1118188257,1115767088,0,552880,507705,0.918294813684032,73151,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Stanislaus%20County/CA%20Stanislaus%20County%202021.pdf"
"323","CA","California",31724,"06099",2022,"stanislaus county","General Purpose",878812976,217923621,381313835,NA,28410433,NA,1696187309,930567185,41277846,997581903,997581903,-301151855,552880,507705,0.918294813684032,73151,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Stanislaus%20County/CA%20Stanislaus%20County%202022.pdf"
"324","MN","Minnesota",34733,"27123",2020,"ramsey county","General Purpose",699894491,70172127,228158123,0,133510679,0,0,0,45346319,940991729,1087437144,-64779530,552362,552241,0.999799041191125,70485,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MN/Ramsey%20County/MN%20Ramsey%20County%202020.pdf"
"325","MN","Minnesota",34733,"27123",2021,"ramsey county","General Purpose",642464375,67600091,166869143,1738871,77640709,0,0,0,46451029,927641695,1026630734,0,552362,552241,0.999799041191125,70485,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MN/Ramsey%20County/MN%20Ramsey%20County%202021.pdf"
