state.abb,state.name,id_22,geo_id,year_22,name,category_22,total_liabilities_22,current_liabilities_22,total_assets_22,current_assets_22,compensated_absences_22,expenses_22,revenues_22,unrestricted_22,population_22,median_hh_income_21_22,url_22,modified_revenues_22,net_pension_liability_22,net_opeb_liability_22,assets_liab_ratio_22,name_state,state.abb_20,id_20,year_20,category_20,total_liabilities_20,current_liabilities_20,total_assets_20,current_assets_20,compensated_absences_20,expenses_20,revenues_20,unrestricted_20,population_20,median_hh_income_21_20,url_20,modified_revenues_20,net_pension_liability_20,net_opeb_liability_20,assets_liab_ratio_20,name_state_20,total_liabilities_growth,current_liabilities_growth,expenses_growth,net_opeb_liability_growth,net_pension_liability_growth,revenues_growth,total_assets_growth,assets_liab_ratio_growth,modified_revenues_growth,latitude,longitude,median_hh_income_normalized
CA,California,31856,0613392,2022,"Chula Vista, CA",General Purpose,664878438,97471659,2471990143,645593352,10244609,363028142,485911541,26523054,275500,91949,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Chula%20Vista/CA%20Chula%20Vista%202022.pdf,25411740,-160773888,27450132,0.26896484190390235,"Chula Vista, California",CA,31856,2020,General Purpose,596108688,24799864,2057229974,0,11046493,313016568,390392795,0,275500,91949,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Chula%20Vista/CA%20Chula%20Vista%202020.pdf,52576363,334945720,25079014,0.2897627856553873,"Chula Vista, California",11.536444843763123,2.930330384069848,15.977292933580436,0.09454590200396236,-147.99998280318377,0.2446734346109026,0.20161098867986843,-0.07177575858971692,-0.5166698769178841,32.6400541,-117.0841955,-3.169277278540939
CA,California,96340,0626000,2022,"Fremont, CA",General Purpose,529449234,28292265,1532408403,553543813,15544643,286184199,393897469,0,230493,155968,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fremont/CA%20Fremont%202022.pdf,79421005,272252574,70589546,0.3455013904671208,"Fremont, California",CA,96340,2020,General Purpose,675792497,30509891,1419486159,0,13385099,350172934,389180841,0,230493,155968,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fremont/CA%20Fremont%202020.pdf,8498016,390302773,82735272,0.4760824842956429,"Fremont, California",-21.655058860471485,-0.07268547763739962,-18.273466846526752,-0.1468022731586596,-30.245800738904823,0.012119373574199148,0.07955149353449947,-0.274282499642294,8.345829073515512,37.5482697,-121.988571,50
CA,California,31800,0669088,2022,"Santa Clarita, CA",General Purpose,198521702,63054641,1722316670,443048590,4214133,210049560,322328316,0,228679,109336,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Clarita/CA%20Santa%20Clarita%202022.pdf,49224115,-432938,-2071568,0.11526434450640254,"Santa Clarita, California",CA,31800,2020,General Purpose,217263369,36580252,1482565883,0,4263235,211788989,255859577,79413132,228679,109336,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Clarita/CA%20Santa%20Clarita%202020.pdf,7490336,38909366,16669651,0.14654550701002472,"Santa Clarita, California",-8.626243386661283,0.7237344619714484,-0.8213028487519716,-1.1242718278864987,-101.11268325472074,0.2597860114495538,0.16171341169328662,-0.213456987811181,5.571683166149022,34.4127963,-118.5538088,11.271033004999751
CA,California,31848,0665000,2022,"San Bernardino, CA",General Purpose,660674289,126966481,1227959247,472542195,8951607,263036146,355468331,-144342668,222068,65311,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Bernardino/CA%20San%20Bernardino%202022.pdf,-34534296,326502961,-2546218,0.5380262338624663,"San Bernardino, California",CA,31848,2020,General Purpose,700249533,31349043,1015938297,0,7708701,276848579,260211842,0,222068,65311,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Bernardino/CA%20San%20Bernardino%202020.pdf,-47985780,443384956,13557801,0.6892638411877882,"San Bernardino, California",-5.651591630550934,3.050091130373581,-4.989165214389632,-1.1878046447207773,-26.36129021030655,0.36607284383314115,0.2086947117025553,-0.21941903562603624,0.28032229548003595,34.8253019,-116.0833144,-25.292759497035032
CA,California,31888,0648354,2022,"Modesto, CA",General Purpose,758381147,102228811,2071052008,619560911,11962073,351189192,433850844,-74161219,218467,70469,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Modesto/CA%20Modesto%202022.pdf,-19567159,249803716,29551870,0.3661816043588221,"Modesto, California",CA,31888,2020,General Purpose,910981832,133992675,1908354523,0,11079022,394268352,434550143,0,218467,70469,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Modesto/CA%20Modesto%202020.pdf,-93710884,341835012,26459988,0.477365091769167,"Modesto, California",-16.7512325317153,-0.2370567197050137,-10.92635505271293,0.11685122457349564,-26.922723761251234,-0.0016092481184616708,0.0852553773626055,-0.23291080417775592,0.7911965167247809,37.6390972,-120.9968782,-21.008919821271366
CA,California,31838,0649270,2022,"Moreno Valley, CA",General Purpose,242737682,72758179,1411692734,476584229,6610838,232404427,289901317,0,208640,79840,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Moreno%20Valley/CA%20Moreno%20Valley%202022.pdf,-15261289,54897196,5274815,0.17194795733786075,"Moreno Valley, California",CA,31838,2020,General Purpose,221955207,27193899,1263072982,0,6923677,216161418,214352086,0,208640,79840,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Moreno%20Valley/CA%20Moreno%20Valley%202020.pdf,-29003231,72896273,8175011,0.17572635165431794,"Moreno Valley, California",9.363364473805744,1.6755331774969084,7.514296098853311,-0.35476355933955317,-24.691354247973692,0.3524539108054213,0.11766521342628165,-0.021501580616035864,0.4738072802992191,33.937517,-117.2305944,-13.226085078816666
CA,California,31844,0624680,2022,"Fontana, CA",General Purpose,395286316,105479129,1504151876,636684038,11341105,284804547,309022999,84634011,208387,93851,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fontana/CA%20Fontana%202022.pdf,-81260677,120846745,68859033,0.2627968108188564,"Fontana, California",CA,31844,2020,General Purpose,346535100,42662860,1316957056,474340928,9727669,278982182,268182993,13533614,208387,93851,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fontana/CA%20Fontana%202020.pdf,-53462049,161401111,66321967,0.26313318146647297,"Fontana, California",14.068189917846704,1.472387669274868,2.0870024595334193,0.03825378098330527,-25.126447859457425,0.15228410102798726,0.14214193177153986,-0.001278328509319547,-0.5199693711701922,34.0922,-117.435,-1.5896217796455332
CO,Colorado,31999,0816000,2022,"Colorado Springs, CO",General Purpose,3731698820,367653659,8693070234,2105239688,46899000,1538570279,2177472250,0,479016,74579,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Colorado%20Springs/CO%20Colorado%20Springs%202022.pdf,271248312,-23921963,63978000,0.42927282531374517,"Colorado Springs, Colorado",CO,31999,2020,General Purpose,3956973674,291779855,7542959000,0,40877000,1404689849,1409978178,-78682031,479016,74579,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Colorado%20Springs/CO%20Colorado%20Springs%202020.pdf,-286491526,420420899,84007000,0.5245916985628585,"Colorado Springs, Colorado",-5.693109749003602,0.260037842571414,9.530960168560313,-0.23842060780649232,-105.69000329358032,0.5443304612619331,0.1524748091564597,-0.1817010705854543,1.9467934908483122,38.8339578,-104.825348,-17.595468664352275
CO,Colorado,31994,0804000,2022,"Aurora, CO",General Purpose,1259754593,164693658,7963959036,825793572,44788968,779855483,1206132585,484550246,386324,71647,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Aurora/CO%20Aurora%202022.pdf,261583444,-10735712,24874408,0.15818195288366624,"Aurora, Colorado",CO,31994,2020,General Purpose,1061881120,92284768,6863302347,0,41436620,750721333,1158643331,0,386324,71647,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Aurora/CO%20Aurora%202020.pdf,315637230,133663291,19443717,0.15471868589093354,"Aurora, Colorado",18.634239678354955,0.7846245005459622,3.880820847807185,0.2793031291290652,-108.03190757887296,0.04098694803603888,0.1603683814805427,0.022384283920134047,-0.171252884205073,39.7405111,-104.830994,-20.03056326096706
DC,District of Columbia,47298,1150000,2022,District Of Columbia,General Purpose,20257809000,3486272000,28668182000,10082782000,374534000,18212259000,19361982000,0,689546,90088,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DC/District%20of%20Columbia/DC%20District%20of%20Columbia%202022.pdf,-2336549000,36081000,173193000,0.7066304030021855,"District Of Columbia, District of Columbia",DC,47298,2020,General Purpose,17091665000,2362726000,23488607000,0,494687000,16554615000,16397733000,0,689546,90088,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DC/District%20of%20Columbia/DC%20District%20of%20Columbia%202020.pdf,-2519608000,-366934000,-19048000,0.7276576682474188,"District Of Columbia, District of Columbia",18.52449132369491,0.47552953664538333,10.013183634895768,10.092450650986981,109.83310350090207,0.18077187864932304,0.2205143540440691,-0.028897194605092297,0.07265376201377358,38.8951,-77.0364,-4.714881318206729
