"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"31","MT","Montana",64951,"30000",2020,"montana","General Purpose",5140282000,2176914000,2254594000,39567000,46410000,0,14971791000,0,111510000,7651126000,8213225000,-343398000,119928000,0,98148000,1084197,579177,53.4185247527035,63357,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MT/State%20of%20Montana/MT%20State%20of%20Montana%202020.pdf"
"32","IN","Indiana",196751,"18000",2020,"indiana","General Purpose",19776175000,6709986000,11792876000,0,190159000,0,35264677000,0,194149000,41616996000,42536473000,9320351000,0,0,0,6785668,4829686,71.1762739760266,62723,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IN/State%20of%20Indiana/IN%20State%20of%20Indiana%202020.pdf"
"33","NC","North Carolina",40620,"37000",2020,"north carolina","General Purpose",29040557000,9927529000,2660223000,0,6130058000,8135000,85957987000,0,619350000,57168095000,59639395000,-691590000,7932866000,0,221862000,10439414,6964727,66.7158553738974,61997,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NC/State%20of%20North%20Carolina/NC%20State%20of%20North%20Carolina%202020.pdf"
"34","MO","Missouri",148599,"29000",2020,"missouri","General Purpose",19395710000,3812318000,7102432000,0,2966040000,0,47374256000,0,195681000,31416824000,32418542000,-7300465,2637727000,0,0,6154920,4275663,69.4674806938782,61815,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MO/State%20of%20Missouri/MO%20State%20of%20Missouri%202020.pdf"
"35","NJ","New Jersey",40624,"34000",2020,"new jersey","General Purpose",213903087870,7930629785,90812068247,200901,65491562252,0,54675275295,0,491700000,75507590895,73616040355,-216321336700,25401600000,1279400000,1500000000,9289031,8708779,93.7537369493403,89227,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NJ/State%20of%20New%20Jersey/NJ%20State%20of%20New%20Jersey%202020.pdf"
"36","NV","Nevada",35504,"32000",2020,"nevada","General Purpose",10676834000,4013010000,2290134000,0,810288000,0,21296697000,0,118600000,17155807000,16771174000,0,2994689000,0,0,3104624,2921203,94.0923090599991,66194,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NV/State%20of%20Nevada/NV%20State%20of%20Nevada%202020.pdf"
"37","TX","Texas",38611,"48000",2020,"texas","General Purpose",250250365000,36689788000,67084585000,0,76983152000,0,380361621000,0,2035843000,198789968000,199988664000,0,59721954000,2389422000,0,29145428,24400697,83.7202752191118,66959,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/State%20of%20Texas/TX%20State%20of%20Texas%202020.pdf"
"38","NE","Nebraska",35432,"31000",2020,"nebraska","General Purpose",3728215000,2771920000,375193000,120708000,14816000,0,18858875000,0,135694000,10762105000,11108805000,1017701000,0,0,0,1961489,1432003,73.005357113725,66949,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NE/State%20of%20Nebraska/NE%20State%20of%20Nebraska%202020.pdf"
"39","VA","Virginia",39392,"51000",2020,"virginia","General Purpose",26563639000,8847384000,4559932000,0,1255256000,0,62882563000,0,338027000,53696012000,58156929000,0,7243127000,133738000,0,8631384,6528313,75.6345238827615,80926,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/VA/Commonwealth%20of%20Virginia/VA%20Commonwealth%20of%20Virginia%202020.pdf"
"40","NH","New Hampshire",35545,"33000",2020,"new hampshire","General Purpose",6048361000,1671862000,941421000,0,1793348000,0,8307536000,0,106978000,8845705000,8682854000,-2992914000,1228878000,2815000,174917000,1377518,803420,58.323273049061,88268,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NH/State%20of%20New%20Hampshire/NH%20State%20of%20New%20Hampshire%202020.pdf"
"41","OH","Ohio",36835,"39000",2020,"ohio","General Purpose",55081480000,11508828000,4641754000,40400000,3330409000,6000000000,83340781000,0,561516000,79045522000,79125001000,0,18440406000,0,0,11799374,9001099,76.2840685428674,62286,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OH/State%20of%20Ohio/OH%20State%20of%20Ohio%202020.pdf"
"42","UT","Utah",39282,"49000",2020,"utah","General Purpose",8052895000,2472354000,730772000,0,18760000,0,36807368000,0,210811000,16189477000,17241722000,2885425000,4431385000,0,183000,3271614,2937303,89.7814107768149,79449,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/UT/State%20of%20Utah/UT%20State%20of%20Utah%202020.pdf"
"43","WA","Washington",39528,"53000",2020,"washington","General Purpose",84090857000,9561046000,3338862000,0,5799742000,0,110548541000,0,910960000,74240928000,72609544000,0,26732746000,0,0,7705247,6424035,83.3718458807667,84155,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/State%20of%20Washington/WA%20State%20of%20Washington%202020.pdf"
"44","WI","Wisconsin",39818,"55000",2020,"wisconsin","General Purpose",28548691000,10066495000,0,895288646,1204453000,131142354,56779826000,0,2593896000,42320767000,44293015000,-7682356000,13146569000,0,320570000,5893725,3953691,67.0831383517162,67150,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WI/State%20of%20Wisconsin/WI%20State%20of%20Wisconsin%202020.pdf"
"45","WV","West Virginia",39745,"54000",2020,"west virginia","General Purpose",13162213000,463785000,2997962000,96703000,1067763000,0,22067965000,0,93744000,14668039000,14506334000,0,3476438000,0,0,1793755,800857,44.647926427595,51122,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WV/State%20of%20West%20Virginia/WV%20State%20of%20West%20Virginia%202020.pdf"
"46","WY","Wyoming",40122,"56000",2020,"wyoming","General Purpose",10270669870,7145725573,463995694,0,381732888,0,30601334531,0,68787262,4726734280,4701674995,0,13865082,0,0,576837,357750,62.017748083994,66508,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WY/State%20of%20Wyoming/WY%20State%20of%20Wyoming%202020.pdf"
"47","MI","Michigan",80814,"26000",2020,"michigan","General Purpose",35977177000,9693360000,7540000000,0,9691000000,0,49761974000,23231152000,428800000,90012294000,88274088000,-13699405000,2088400000,1439600000,3349760000,10077325,7404258,73.4743951548282,63444,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MI/State%20of%20Michigan/MI%20State%20of%20Michigan%202020.pdf"
"48","ND","North Dakota",1241002,"38000",2020,"north dakota","General Purpose",8078745996,3719043616,603888269,31077783,40443754,0,34196932678,0,89933000,8356617731,9740177279,11530316125,1686329000,0,663083000,779091,474989,60.9668409716928,67603,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ND/State%20of%20North%20Dakota/ND%20State%20of%20North%20Dakota%202020.pdf"
"49","MN","Minnesota",34704,"27000",2020,"minnesota","General Purpose",23927324000,6463164000,3107663000,0,630967000,0,48199480000,26252284000,527476000,50004800000,49990315000,0,8483013000,65223000,0,5706504,4101754,71.878705208487,77712,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MN/State%20of%20Minnesota/MN%20State%20of%20Minnesota%202020.pdf"
"50","NM","New Mexico",82166,"35000",2020,"new mexico","General Purpose",14617951000,3134067000,5617739000,19276000,1159319000,0,47762954000,12259898000,182688000,21701968000,23558395000,0,4145804000,12069000,12506000,2117527,1578552,74.5471357558505,54304,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NM/State%20of%20New%20Mexico/NM%20State%20of%20New%20Mexico%202020.pdf"
"51","AK","Alaska",31574,"02000",2021,"alaska","General Purpose",16726973000,8741798000,5089994000,20031000,3405000,548581000,107832869000,0,203580000,12317135000,28467439000,20329729000,1374829000,0,3859000,733378,475967,64.899487449396,78437,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AK/State%20of%20Alaska/AK%20State%20of%20Alaska%202021.pdf"
"52","AL","Alabama",31550,"01000",2021,"alabama","General Purpose",15007563000,3279338000,3976285000,0,987056000,0,42222752000,0,334749000,30075201000,33575970000,-8827941000,6067908000,68502000,0,5024356,2900880,57.7372395123758,53990,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/State%20of%20Alabama/AL%20State%20of%20Alabama%202021.pdf"
"53","NY","New York",42220,"36000",2021,"new york","General Purpose",231882000000,47733000000,13861000000,23000000,77861000000,3000000,204039000000,0,1592000000,292949000000,288036000000,0,2274000000,2245000000,81329000000,20201230,17665166,87.4459099038876,74230,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/NY/State%20of%20New%20York/NY%20State%20of%20New%20York%202021.pdf"
"54","AR","Arkansas",49082,"05000",2021,"arkansas","General Purpose",13893664000,1784111000,2485079000,0,2944665000,0,33196845000,0,308084000,27137766000,29104967000,0,3289342000,0,183555000,3011555,1670677,55.476131022034,52577,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AR/State%20of%20Arkansas/AR%20State%20of%20Arkansas%202021.pdf"
"55","ME","Maine",33873,"23000",2021,"maine","General Purpose",9546245000,1112683000,2692100000,5039000,2931246000,0,10517354000,0,69304000,12148245000,13034219000,0,1056847000,336993000,0,1362341,526309,38.6321813853764,64823,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/ME/State%20of%20Maine/ME%20State%20of%20Maine%202021.pdf"
"56","AZ","Arizona",40623,"04000",2021,"arizona","General Purpose",27669843000,6938052000,6262883000,0,1585805000,37328000,63302682000,0,506854000,56310879000,62994579000,0,6345131000,251790000,184460000,7151507,6385230,89.2851599566077,68967,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/State%20of%20Arizona/AZ%20State%20of%20Arizona%202021.pdf"
"57","CO","Colorado",31946,"08000",2021,"colorado","General Purpose",35468430000,11422957000,9244732000,0,1260020000,0,56898947000,0,695124000,46255427000,51048135000,0,4938279000,0,118641000,5773733,4966936,86.0267065531822,82228,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/State%20of%20Colorado/CO%20State%20of%20Colorado%202021.pdf"
