"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"66","OK","Oklahoma",125644,"4046050",2020,"mangum",1606098,184026,645905,3362,0,0,0,0,0,4970983,5560465,2765,NA
"67","OK","Oklahoma",125751,"4046500",2020,"marietta",371808,0,0,0,0,0,0,0,0,1978311,2299370,2831,NA
"68","LA","Louisiana",33814,"2208150",2020,"bogalusa",30971845,2305032,23704867,0,402232,0,0,0,1119980,16375265,22296639,10654,NA
"69","OK","Oklahoma",125956,"4046600",2020,"marlow",3338792,327555,0,0,0,0,0,0,0,8212782,8276949,4390,NA
"70","LA","Louisiana",33790,"2208920",2020,"bossier city",567723650,12447326,77558234,7847712,4867661,0,0,0,2211677,132325969,157676319,62719,NA
"71","LA","Louisiana",64892,"2209340",2020,"breaux bridge",10702243,997856,1601599,0,0,0,0,0,0,10383379,10608893,7514,NA
"72","LA","Louisiana",75163,"2210075",2020,"broussard",50028360,2965824,382865,0,0,0,0,0,577123,23301132,22730693,13434,NA
"73","OK","Oklahoma",65451,"4044800",2020,"mcalester",66451137,2367257,11589878,47463,0,0,0,0,2428935,35879718,35936976,18170,NA
"74","LA","Louisiana",95144,"2210950",2020,"bunkie",12163971,540697,1899864,0,986282,0,0,0,0,4666940,3825158,3347,NA
"75","AR","Arkansas",96088,"0517320",2020,"danville",48532,48532,84208,0,0,0,0,0,53396,1548170,1757444,2024,NA
"76","LA","Louisiana",96886,"2212665",2020,"carencro",26545678,2681578,5699393,0,0,0,0,0,264864,14473134,21629268,9277,NA
"77","LA","Louisiana",75359,"2213960",2020,"central",1209421,1007553,176448,0,0,0,0,0,1105,7891263,14354145,29563,NA
"78","OK","Oklahoma",125912,"4045350",2020,"mcloud",2854990,278,0,0,0,0,0,0,0,2989650,3451870,4351,NA
"79","AR","Arkansas",111010,"0517380",2020,"dardanelle",108445,108445,812171,0,0,0,0,0,188641,4512121,4614829,4516,NA
"80","OK","Oklahoma",125638,"4047300",2020,"medford",0,0,0,0,0,0,0,0,0,3038879,3048200,912,NA
"81","OK","Oklahoma",125871,"4048000",2020,"miami",46262178,4648081,7585534,25191,2769891,0,0,0,705064,32451638,36702917,12978,NA
"82","LA","Louisiana",33788,"2218650",2020,"crowley",21576700,1357160,11847783,0,1380726,0,0,0,0,15053737,15376486,11705,NA
"83","OK","Oklahoma",149568,"4048350",2020,"midwest city",243362511,14443589,26774282,131036,26200223,0,0,0,7411104,104606719,108558011,58406,NA
"84","LA","Louisiana",42641,"2220435",2020,"denham springs",66378414,3592729,11973904,0,0,0,0,0,1128976,23411008,28162472,9337,NA
"85","LA","Louisiana",90356,"2220575",2020,"dequincy",6888312,1916141,2433742,0,0,0,0,0,127820,6348447,6328757,3137,NA
"86","OK","Oklahoma",37337,"4039850",2020,"kingfisher",6757024,887637,3449159,10664,0,32201,0,0,749379,16518111,16215650,4927,NA
"87","LA","Louisiana",75481,"2220610",2020,"deridder",25514162,1072087,8308601,0,14918591,0,0,0,803385,15245284,15421643,9853,NA
"88","AR","Arkansas",48995,"0515190",2020,"conway",145999189,3096209,84387155,0,5720142,0,0,0,4184486,66789639,77076307,64149,53029
"89","OK","Oklahoma",125624,"4048750",2020,"minco",61627,61627,0,0,0,0,0,0,9518,1591917,1993687,1501,NA
"90","OK","Oklahoma",45506,"4049200",2020,"moore",187332109,11225992,25754408,168386,40585507,0,0,0,6527289,79404929,100014394,62806,NA
"91","LA","Louisiana",33789,"2221240",2020,"donaldsonville",13775615,1113242,2018050,0,570606,0,0,0,50704,8032183,8684391,6686,NA
"92","KY","Kentucky",33594,"2163912",2020,"radcliff",30964126,313073,22706487,0,5885952,0,0,0,392638,16666692,14849648,23026,NA
"93","OK","Oklahoma",125850,"4049400",2020,"morris",50421,50421,0,0,0,0,0,0,7577,1317562,1257949,1306,NA
"94","KY","Kentucky",56701,"2165226",2020,"richmond",130738899,3718899,52006363,0,13409113,0,0,0,3949677,59728373,62155476,34594,NA
"95","AR","Arkansas",96147,"0531190",2020,"helena-west helena",801501,801501,6622853,0,0,0,0,0,139685,17242965,18652486,9590,NA
"96","AR","Arkansas",103845,"0515460",2020,"corning",120579,120579,1321476,0,0,0,0,0,34507,2913328,3532557,3225,NA
"97","NY","New York",44629,"3665508",2020,"schenectady",78713224,32064360,55559791,0,332288275,0,0,0,2530611,146020724,125486868,67050,53316
"98","KY","Kentucky",96875,"2171688",2020,"somerset",98343792,3175230,42082437,0,10780163,0,0,0,0,51319128,42850909,11921,NA
"99","AR","Arkansas",101754,"0519600",2020,"dover",49318,49318,863661,0,0,0,0,0,62906,881888,1044296,1332,NA
"100","KY","Kentucky",116141,"2173164",2020,"stanton",5585230,474277,2288062,0,593259,0,0,0,57893,4350787,4147280,3253,NA
"101","KY","Kentucky",115972,"2167944",2020,"st matthews",18702743,0,13566751,0,3524219,0,0,0,710436,15080157,15168289,17537,NA
"102","KY","Kentucky",115972,"2167944",2020,"st matthews",18702743,0,13566751,0,3524219,0,0,0,710436,15080157,15168289,17537,NA
"103","OK","Oklahoma",44130,"4050050",2020,"muskogee",136977824,5970106,18284595,91554,6408297,0,0,0,5618078,57275834,66854955,36875,NA
"104","LA","Louisiana",224357,"2224565",2020,"eunice",11039345,1142226,9179089,0,0,0,0,0,174620,12930804,12320636,9426,NA
"105","AR","Arkansas",48260,"0533190",2020,"hope",22952301,604662,5883395,0,0,0,0,0,353795,10160637,10080748,8940,NA
"106","AR","Arkansas",101755,"0521190",2020,"elkins",96680,96680,1052670,0,0,0,0,0,182744,3725442,3392682,3600,NA
"107","AR","Arkansas",99277,"0533370",2020,"horseshoe bend",1012993,208826,0,0,0,0,0,0,0,1688470,1757232,2432,NA
"108","GA","Georgia",58744,"1346552",2020,"lincolnton",6446860,157136,198815,0,0,0,0,0,0,2547101,3049739,1482,NA
"109","GA","Georgia",96491,"1347196",2020,"loganville",34627658,5504875,4296295,0,1780329,0,0,0,480750,21686590,25924312,14124,NA
"110","AR","Arkansas",101797,"0550000",2020,"norfork",0,0,0,0,0,0,0,0,0,350643,391743,465,NA
"111","OK","Oklahoma",98471,"4050100",2020,"mustang",46380667,2843703,6252962,31700,925695,0,0,0,421722,23820735,28903620,19887,NA
"112","AR","Arkansas",1266888,"0534750",2020,"jacksonville",37986191,1834411,19566243,659012,1706619,0,0,0,703160,28233600,30452481,29483,NA
"113","AR","Arkansas",96163,"0533970",2020,"huntsville",131470,131470,1303630,0,0,0,0,0,0,2968491,3341114,2881,NA
"114","AR","Arkansas",31658,"0533400",2020,"hot springs",358772451,11350934,82659034,0,6241012,0,0,0,5022281,96559100,103810282,37934,NA
"115","OK","Oklahoma",125759,"4051150",2020,"newcastle",4809188,4163,0,0,0,0,0,0,0,11792750,15573114,10989,NA
"116","AR","Arkansas",45458,"0535710",2020,"jonesboro",3810835,3810835,27567102,0,0,0,0,0,5144253,69537240,80944574,78575,45497
"117","AR","Arkansas",96182,"0538890",2020,"lavaca",1357293,83954,596516,0,0,0,0,0,0,1769496,2142077,2453,NA
"118","OK","Oklahoma",125999,"4051250",2020,"new cordell",1455508,0,393542,0,0,0,0,0,0,5064043,5731002,2772,NA
"119","AR","Arkansas",96189,"0539970",2020,"lincoln",517744,517744,1639341,0,0,0,0,0,0,3088703,3347071,2291,NA
"120","AR","Arkansas",110984,"0539370",2020,"lepanto",42648,42648,711042,0,0,0,0,0,11304,1194386,1386209,1735,NA
