"","state.abb","state.name","geo_id","id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","expenses","revenues","population","median_hh_income_21"
"153","TX","Texas","4865000",38656,2021,"san antonio",6346636000,819657000,933170000,243244000,0,0,2598378000,2737685000,1434367,54923
"154","TX","Texas","4804000",31543,2021,"arlington",1866983000,0,144366000,69491000,27444000,0,607945000,685362000,394257,59889
"155","MN","Minnesota","2758000",101973,2021,"saint paul",1153669398,133080944,202134571,148264215,0,0,618852724,680005747,311518,66098
"156","AZ","Arizona","0446000",31634,2021,"mesa",4282895000,1014811000,953762000,345738000,0,0,1171253000,1223499000,504300,69266
"157","AZ","Arizona","0412000",31633,2021,"chandler",1014689233,316219876,63003983,63516870,0,0,543298997,568989293,276010,94613
"158","MN","Minnesota","2743000",1036390,2021,"minneapolis",1790197000,389858000,47213000,241108000,0,0,976612000,1074341000,429985,69397
"159","NV","Nevada","3260600",35523,2021,"reno",1061795874,252369268,147020971,78943241,0,0,402429362,523608626,264147,67478
"160","TX","Texas","4837000",47012,2021,"irving",1089686874,153236230,18303061,86083020,0,0,418767014,496729475,256687,70340
"161","AZ","Arizona","0455000",31636,2021,"phoenix",14097669000,4652055000,136443000,1042790000,0,73892000,4141988000,4961320000,1608190,68435
"162","CA","California","0669088",31800,2021,"santa clarita",221580825,34737777,0,41923993,0,12575778,197556736,308533852,228679,109336
"163","FL","Florida","1263000",32314,2021,"st petersburg",1459810343,115587405,256867376,88765560,16268755,0,619869432,690300053,258356,64141
"164","AZ","Arizona","0477000",31644,2021,"tucson",3382060447,1291047640,212813304,268899451,0,0,1142236719,1446490646,542656,50306
"165","CA","California","0666000",44032,2021,"san diego",8481413000,3513674000,469975000,732235000,0,0,3756065000,3719767000,1386960,93042
"166","MA","Massachusetts","2507000",34032,2021,"boston",6426387000,1406402000,2196724000,786957000,0,0,4088575000,4145409000,675632,79283
"167","ID","Idaho","1608830",32682,2021,"boise",224705000,0,15036000,77747000,101251000,0,362551000,455259000,235712,70217
"168","IA","Iowa","1921000",71073,2021,"des moines",1054729050,213409053,22792325,91374421,0,0,466484080,538210286,214125,60693
"169","AZ","Arizona","0427820",44287,2021,"glendale",1440811000,429332000,613000,111250000,0,1916000,488049000,601059000,248374,62910
"170","CA","California","0602000",31819,2021,"anaheim",3305927000,834846000,160100000,216887000,0,0,1208670000,1174924000,346825,81747
"171","CA","California","0653000",31740,2021,"oakland",4186217000,1801374000,842836000,470545000,0,0,1323257000,1482442000,440660,82236
"172","NE","Nebraska","3128000",35447,2021,"lincoln",1668339134,39668000,26979000,141527498,0,0,766018047,935618237,291105,62294
"173","TX","Texas","4824000",43166,2021,"el paso",2773436603,485256939,168416162,165215037,0,0,870926344,1085555707,678697,51241
"174","CA","California","0636770",31829,2021,"irvine",287944000,153978000,9488000,85360000,0,0,375324000,345879000,307665,105774
"175","CA","California","0649270",31838,2021,"moreno valley",264594470,77591423,9047518,65890232,0,0,216273007,261653899,208640,79840
"176","NY","New York","3663000",36037,2021,"rochester",2359529000,55648000,1753793000,290317000,0,0,857649000,813572000,211321,41980
"177","GA","Georgia","1304000",42897,2021,"atlanta",10740141000,1251025000,888700000,524334000,0,0,2193181000,2469218000,498722,74107
"178","PA","Pennsylvania","4260000",42714,2021,"philadelphia",18803884000,4721351000,2088155000,2887334000,0,0,8408336000,8763843000,1603799,52899
"179","CA","California","0627000",31759,2021,"fresno",1615388000,0,152604000,263178000,93198000,0,943597000,930547000,542252,61250
"180","CA","California","0644000",149487,2021,"los angeles",56315847000,11279212000,2484602000,3947445000,0,0,17338053000,18363558000,3898767,70372
"181","WA","Washington","5370000",39559,2021,"tacoma",2172314000,110879000,229263000,208719000,177099000,0,1126267000,1305169000,219175,77141
"182","CA","California","0675000",31865,2021,"stockton",1230233905,549631640,66315626,124293781,0,0,504855874,619796500,320810,69844
"183","NY","New York","3651000",122258,2021,"new york",283974857000,9598353000,117979233000,36958227000,0,0,94850713000,104175972000,8804194,67997
"184","IN","Indiana","1825000",33221,2021,"fort wayne",1548296927,199649351,171220196,79342071,32556786,0,424637307,558699265,263914,54737
"185","NJ","New Jersey","3436000",108025,2021,"jersey city",191198139,113755178,1208152775,191198139,0,0,1156967562,1041289727,292754,81958
"186","NC","North Carolina","3755000",36728,2021,"raleigh",2361176428,203853587,189934098,226210165,0,0,787637884,987255776,467762,74612
"187","CA","California","0667000",54175,2021,"city and county of san francisco",36525105000,5614021000,3811347000,5527989000,0,0,12585731000,13106808000,873959,121826
"188","WA","Washington","5367000",39566,2021,"spokane",839405510,0,0,29778576,174325293,91501555,522675150,658310969,228978,58714
"189","FL","Florida","1235000",32292,2021,"jacksonville",6696965000,3107155000,416420000,408696000,0,0,2119364000,2076052000,949616,58621
"190","MI","Michigan","2622000",34317,2021,"detroit",6418274433,2159574662,377348,910918244,28023927,0,2312400836,2282921854,639115,36140
"191","AL","Alabama","0137000",31569,2020,"huntsville",1335234757,211600490,66108743,71574650,0,0,432807149,444428253,215052,70757
"192","TX","Texas","4845000",38693,2020,"lubbock",1869606346,167632275,150930890,96255991,0,0,640991169,749999064,257157,54747
"193","FL","Florida","1245000",398462,2020,"miami",2854317892,994144647,867949431,127908952,0,0,1095966163,1024569536,442260,48789
"194","OH","Ohio","3915000",36933,2020,"cincinnati",3389782000,1498856000,211704000,125427000,0,0,1432631000,1101279000,309561,42733
"195","VA","Virginia","5157000",230389,2020,"norfolk",2126539198,319781825,75620871,190368768,0,0,909352298,936078688,238001,58591
"196","VA","Virginia","5116000",230275,2020,"chesapeake",1137616969,162210178,41676036,84316399,0,0,815696278,855449210,249415,88815
"197","VA","Virginia","5167000",230420,2020,"richmond",2594525942,370679024,116933633,199271710,0,0,1117347385,1190816721,226618,51770
"198","VA","Virginia","5182000",230476,2020,"virginia beach",2174515595,417692180,103615930,103328094,0,0,1546388767,1632118091,459471,81634
"199","NC","North Carolina","3775000",36708,2020,"winston-salem",1083821870,108050925,7852505,29047731,0,0,399880634,452557098,249562,54228
"200","NV","Nevada","3251800",35520,2020,"north las vegas",756950708,218565388,43455396,36924302,0,0,388962525,492604694,259520,67035
"201","TN","Tennessee","4748000",38563,2020,"memphis",4403060000,578293000,933940000,605559000,0,0,2925057000,2869453000,631539,44317
"202","OK","Oklahoma","4055000",125837,2020,"oklahoma city",2204253000,288492000,425090000,125893000,11458000,0,1009813000,1077290000,681084,59214
"203","AZ","Arizona","0465000",31637,2020,"scottsdale",1672194000,352019000,2177000,105699000,0,0,645919000,802015000,241339,99097
"204","CA","California","0662000",31836,2020,"riverside",2997462000,599576000,50004000,113462000,0,0,930318000,933925000,315014,76558
"205","CA","California","0669000",31826,2020,"santa ana",1014020583,666536096,52935451,110846149,0,0,526873913,529268827,310555,80265
"206","CA","California","0643000",31784,2020,"long beach",5018598000,1205496000,9655000,381852000,0,0,1771011000,1908857000,466775,73905
"207","CO","Colorado","0816000",31999,2020,"colorado springs",3956973674,424986000,84007000,291779855,4565101,0,1404689849,1409978178,479016,74579
"208","FL","Florida","1271000",32297,2020,"tampa",1547995667,201706974,135123704,109988927,0,0,922750269,992365061,384661,63404
"209","IL","Illinois","1714000",32795,2020,"chicago",69251891000,32958251000,1963340000,4835603000,0,0,10177766000,11215375000,2746352,66576
