"","state.abb","state.name","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"101","CA","California","06059",2021,"orange county",6559088000,3547702000,305411000,993231000,0,0,4777762000,5596641000,3186979,3179027,0.997501717138026,100210
"102","FL","Florida","12086",2021,"miami-dade county",25973866000,1434132000,745948000,1896558000,36837000,0,10107900000,10375967000,2701762,2678436,0.991364540317503,58905
"103","TX","Texas","48113",2021,"dallas county",1211575000,246648000,194549000,465875000,0,0,1050839000,1153142000,2611491,2598426,0.994217419368909,63549
"104","CA","California","06065",2021,"riverside county",8050732000,2983082000,187718000,1482611000,0,0,4926875000,5709720000,2418177,2285826,0.945265147207513,78690
"105","WA","Washington","53033",2021,"king county",7316533000,105494000,106488000,1104880000,0,0,4139998000,5456853000,2269667,2194904,0.9670565169022,110351
"106","NV","Nevada","32003",2021,"clark county",11138242764,3013888321,798014345,795343332,0,0,5116349531,5589279066,2265469,2236714,0.987310750438873,63735
"107","CA","California","06071",2021,"san bernardino county",5537452000,3317265000,0,696244000,0,0,5014655000,5477185000,2181662,2064249,0.94618532544574,74218
"108","TX","Texas","48439",2021,"tarrant county",1110277000,290929000,213391000,319710000,0,0,788728000,898917000,2110608,2084718,0.987718417162567,71399
"109","TX","Texas","48029",2021,"bexar county",3218500283,166644668,227493053,375851658,0,0,879279344,819459722,2009322,1914732,0.952923470779227,63014
"110","FL","Florida","12011",2021,"broward county",6436431000,571574000,312871000,725175000,0,0,2929638000,3569531000,1944376,1944223,0.999921825779492,65536
"111","CA","California","06085",2021,"santa clara county",11018099000,4769151000,1088627000,2024400000,0,0,7525256000,7369719000,1936274,1910722,0.98681116524184,141161
"112","MI","Michigan","26163",2021,"wayne county",1833822081,419609419,74938340,492542009,0,0,881524450,1129125590,1793549,1777476,0.991031807672,52644
"113","CA","California","06001",2021,"alameda county",4361821000,1843225000,92241000,945759000,0,0,3483659000,3941250000,1682331,1674100,0.995094370800896,108971
"114","CA","California","06067",2021,"sacramento county",6246742000,2389783000,162324000,722122000,0,0,3584057000,3732809000,1585046,1547026,0.976007772600951,79611
"115","NY","New York","36103",2021,"suffolk county",10612203516,153186365,6543850000,769874403,0,0,3283107373,3761936700,1525936,1495948,0.980358079060501,112681
"116","FL","Florida","12099",2021,"palm beach county",2867589031,572344587,435910997,406205108,0,0,2537122095,3078026083,1492198,1479525,0.991511810485387,70024
"117","FL","Florida","12057",2021,"hillsborough county",2651501000,398407000,140126000,433628000,0,0,2384317000,2935269000,1459773,1406155,0.963276890342398,65818
"118","FL","Florida","12095",2021,"orange county",2535663033,412121992,39509605,547868101,0,1672149,2782752215,3161702697,1429901,1396338,0.97652296511384,64579
"119","NY","New York","36059",2021,"nassau county",14266585000,145322000,6580900000,914106000,0,0,3451734000,3720412000,1395777,1389785,0.995709190742914,125118
"120","OH","Ohio","39049",2021,"franklin county",1213345000,393456000,0,227954000,0,46762000,1053702000,1507973000,1323800,1305636,0.986273678867086,66056
"121","TX","Texas","48453",2021,"travis county",2765955695,248672256,947786046,265688998,0,0,958672538,1099473275,1290209,1224251,0.948893494591486,84519
"122","MN","Minnesota","27053",2021,"hennepin county",3292065967,594886582,150763144,527946131,0,0,3187218746,3491919768,1281568,1250960,0.976119041952613,84220
"123","MI","Michigan","26125",2021,"oakland county",614314635,0,0,251799723,71914093,618263365,892954415,1046307198,1274395,1203765,0.944577623107435,86597
"124","OH","Ohio","39035",2021,"cuyahoga county",1740814356,413749034,0,100684272,8268140,49172412,1061442195,1763123220,1264813,1257664,0.994344636417758,55250
"125","PA","Pennsylvania","42003",2021,"allegheny county",3719833153,2120359787,63988013,528838388,0,0,2378364739,2093924331,1250585,1220381,0.9758535653114,68874
"126","UT","Utah","49035",2021,"salt lake county",930514547,20326797,92332859,228806107,1426934,0,1184409558,1368687254,1185236,1177043,0.993085776865068,80676
"127","CA","California","06013",2021,"contra costa county",2234279000,341498000,449556000,591573000,0,16235000,3677028000,4254779000,1165927,1154266,0.989998516202129,110595
"128","VA","Virginia","51059",2021,"fairfax county",7780137025,2235726340,16360027,632101836,0,0,5628944754,5707862716,1150305,1132574,0.984582403510709,133845
"129","NC","North Carolina","37183",2021,"wake county",3781363137,152076032,540414829,267923808,2694036,0,1899907647,1908957172,1129393,1071162,0.94842616941589,91558
"130","NC","North Carolina","37119",2021,"mecklenburg county",2840113166,194584299,401088310,382388987,1819879,0,2022903552,2048755909,1115526,1106063,0.991556116548721,75138
"131","GA","Georgia","13121",2021,"fulton county",3210861000,228976000,1710105000,139989000,0,0,1065145000,1128994000,1066702,1059965,0.993676819379213,82820
"132","TX","Texas","48085",2021,"collin county",724868503,0,0,132032503,15726894,0,368476068,455465492,1066465,999005,0.938504319071083,102119
"133","MD","Maryland","24031",2021,"montgomery county",6795850104,147199286,983532109,651864212,0,0,4834370919,5488179379,1062054,1033604,0.9732058704726,112352
"134","AZ","Arizona","04019",2021,"pima county",2390808000,869089000,0,236564000,0,5456000,1194524000,1295372000,1043434,951173,0.911580331463544,60604
"135","CA","California","06019",2021,"fresno county",2458099000,1296105000,0,324987000,0,0,1856333000,2063938000,1008650,895029,0.88734987418877,63140
"136","NY","New York","36119",2021,"westchester county",6416989725,18684807,4010990120,742637351,0,0,2577009754,2688714437,1004445,958924,0.954669040088326,109131
"137","MO","Missouri","29189",2021,"st louis county",961302688,267696492,0,101822218,0,0,846092409,1010714005,1004310,990523,0.986453877754264,72507
"138","IN","Indiana","18097",2021,"marion county",865857431,72628957,12698175,46559091,0,0,371422588,362420851,977213,968609,0.991205512058395,58737
"139","MD","Maryland","24033",2021,"prince georges county",7999883082,1521298858,2362474000,587019675,0,0,2864966816,2840208300,967194,943654,0.975654491672362,89689
"140","FL","Florida","12103",2021,"pinellas county",1500671306,229726672,717811753,281115726,0,0,1400788919,1718783889,959103,957280,0.998095103048982,61851
"141","GA","Georgia","13135",2021,"gwinnett county",1357118000,135727000,10373000,242852000,0,0,1301235000,1690553000,957027,952537,0.995271988648593,75021
"142","NJ","New Jersey","34003",2021,"bergen county",121018170,458269025,1266760449,0,0,0,773899708,802219456,955746,954575,0.99878940958344,104777
"143","NY","New York","36029",2021,"erie county",2860090000,1080000,1561629000,297230000,0,0,1809555000,2052824000,954244,855868,0.896914390150864,63014
"144","WI","Wisconsin","55079",2021,"milwaukee county",2779553000,512979000,1332245000,226618000,32343000,0,1045939000,1229343000,939495,936887,0.997230409296969,56417
"145","IL","Illinois","17043",2021,"dupage county",379886584,78705628,13474029,129040318,104078,0,463267491,596436283,932877,931125,0.998121938905129,99536
"146","TN","Tennessee","47157",2021,"shelby county",2008712395,700971001,0,205729473,212993,38920000,1211483336,1272411186,929722,898107,0.965972353680153,54931
"147","WA","Washington","53053",2021,"pierce county",764732000,18247000,91356000,165642000,0,0,780498000,998242000,921137,858662,0.932183296603085,85492
"148","CA","California","06029",2021,"kern county",2863851000,1984698000,18400000,246475000,0,0,1789461000,2114198000,909244,787826,0.866471264304608,57926
"149","TX","Texas","48121",2021,"denton county",945517302,63577282,120611720,131038984,0,0,299304147,382871744,906405,841126,0.927962913521516,98027
"150","MI","Michigan","26099",2021,"macomb county",630844191,0,45432527,313348245,235350995,28327976,563100014,812048812,881219,852930,0.967900074555983,67646
"151","TX","Texas","48215",2021,"hidalgo county",792412703,72709939,54140220,224338745,0,0,540563101,595077981,870796,793236,0.910947758391605,44260
"152","TX","Texas","48141",2021,"el paso county",538404124,152970622,58857250,125013246,0,0,393999931,420376483,865655,830826,0.95976350910349,50983
"153","NJ","New Jersey","34023",2021,"middlesex county",26089235,128422051,1231405298,26089235,0,0,682624114,693353152,863183,854733,0.990234741566473,98992
"154","NJ","New Jersey","34013",2021,"essex county",853905018,0,0,0,0,0,934915605,985000215,862782,863609,0.999862225144953,66191
"155","PA","Pennsylvania","42091",2021,"montgomery county",859012113,53257603,0,281934127,0,0,886852943,944719650,856559,827974,0.966634872564803,102648
"156","MD","Maryland","24005",2021,"baltimore county",9130642000,2019377000,1937925000,431079000,0,0,3490982000,3390494000,854554,793614,0.928708595903035,80159
"157","CA","California","06111",2021,"ventura county",2202431000,809287000,194562000,469649000,0,1858000,2317724000,2448419000,843843,815432,0.966331414729991,95819
"158","OH","Ohio","39061",2021,"hamilton county",2164060000,239988000,0,333244000,3564000,59749000,1016816000,1461511000,830625,810853,0.976179784479178,64087
"159","WA","Washington","53061",2021,"snohomish county",654806038,15321883,4651634,185816843,203745902,0,707312564,958233278,827947,730291,0.882039767765717,99650
"160","TX","Texas","48157",2021,"fort bend county",1661443258,78846469,634919158,168264845,0,0,665679723,1166565573,822779,783302,0.9520199227253,98070
"161","OR","Oregon","41051",2021,"multnomah county",1929819000,728099000,126633000,288051000,0,24425000,1726504000,1687490000,815429,804977,0.987183417787959,77851
"162","OK","Oklahoma","40109",2021,"oklahoma county",442422773,9502733,308520735,103024442,0,0,188010498,163412031,796567,735843,0.924086892747886,57890
"163","KY","Kentucky","21111",2021,"jefferson county",2477366174,1209969000,371956000,104708561,0,0,1098801319,1159936135,782956,770185,0.98367240593178,60636
"164","CA","California","06077",2021,"san joaquin county",2216013213,1573255627,103570248,287495573,0,0,1752992966,2008743593,779227,718832,0.922486599001839,79598
"165","GA","Georgia","13067",2021,"cobb county",1595747561,557302031,154309832,188056148,0,0,1085394612,1273760842,766160,766109,0.99994779083442,87532
"166","CA","California","06081",2021,"san mateo county",2309401000,831037000,58418000,553553000,0,0,2177325000,2464709000,764432,751407,0.982948346637155,131151
"167","GA","Georgia","13089",2021,"dekalb county",2745535000,717694000,609092000,307546000,0,0,1060916000,1289439000,764386,763175,0.998420946594765,70756
"168","FL","Florida","12071",2021,"lee county",1971942000,185941000,652769000,252454000,0,0,1250695000,1471737000,760820,730937,0.960720115874672,66426
"169","NY","New York","36055",2021,"monroe county",1756290000,1546000,526739000,358055000,0,0,1677291000,1799637000,759444,697775,0.918798382498752,66003
"170","CO","Colorado","08041",2021,"el paso county",561363272,157726231,177433869,99419728,0,0,411539647,468200634,730402,655526,0.897495190958317,79094
"171","MA","Massachusetts","25021",2021,"norfolk county",99094039,26064827,47116906,9431880,0,0,38281994,38756308,725999,711300,0.979777707681055,114658
"172","FL","Florida","12105",2021,"polk county",990797933,155096480,186387615,228272310,0,0,776750167,1019623557,725041,646127,0.891153113043862,56344
"173","NJ","New Jersey","34017",2021,"hudson county",137783794,185364574,676531494,123230337,0,0,713737751,744380324,724857,724854,1,79159
"174","MO","Missouri","29095",2021,"jackson county",515860591,720855,5721309,111293420,0,0,309714604,348937104,717206,686587,0.957310611764575,63282
"175","CO","Colorado","08031",2021,"denver county",12287597000,1764486000,253829000,926765000,65973000,0,3707999000,4128337000,715538,715418,0.999854651569064,81262
"176","IL","Illinois","17097",2021,"lake county",389533644,0,18696673,134600460,39077298,0,436713723,541263230,714351,704232,0.985847115247318,95895
"177","IL","Illinois","17197",2021,"will county",641931750,44960011,53068222,112161000,0,0,355212810,449231264,696362,662409,0.951251875839191,93994
"178","NM","New Mexico","35001",2021,"bernalillo county",940238572,378957607,120642605,141339086,0,0,440372419,542770563,676438,649512,0.960185913394161,59723
"179","AL","Alabama","01073",2021,"jefferson county",2988585557,0,115072977,199430718,121961328,0,807964115,802308405,674355,593276,0.879290847624426,55210
"180","OK","Oklahoma","40143",2021,"tulsa county",278870421,138553911,0,17493788,0,0,318341854,294612937,669272,634925,0.948670136071803,59232
"181","UT","Utah","49049",2021,"utah county",339808840,9825653,8226676,96572119,416277,0,291628989,397124865,659392,631512,0.957708458763207,86597
"182","MI","Michigan","26081",2021,"kent county",327844737,0,19822380,110727743,87473853,0,352782608,424398985,657984,551457,0.838113664065753,71933
"183","CO","Colorado","08005",2021,"arapahoe county",490947745,207654520,0,114619921,0,0,413970137,418338834,655058,641552,0.979364037431114,84308
"184","PA","Pennsylvania","42017",2021,"bucks county",555602123,0,0,251910003,35668309,0,629286744,662269451,646526,579965,0.897031574323551,99755
"185","NJ","New Jersey","34025",2021,"monmouth county",49950014,189001523,421395689,49950014,0,0,686586456,736129122,643608,610605,0.948711574466102,107500
"186","NJ","New Jersey","34029",2021,"ocean county",1011704677,320908683,0,0,0,0,514787052,553770430,637229,613695,0.96306822194219,75732
"187","TX","Texas","48339",2021,"montgomery county",1194773412,49048682,311015175,173885862,0,0,531398997,545477194,620451,478509,0.77123764793865,87831
"188","KS","Kansas","20091",2021,"johnson county",1372065338,181941520,25212996,156204744,0,0,717661664,769351233,609864,585241,0.959626998194677,93220
"189","TX","Texas","48491",2021,"williamson county",1502964941,58153888,61086970,132579328,0,0,366126433,508954725,609010,553276,0.908473819285833,96653
"190","FL","Florida","12009",2021,"brevard county",655160577,127428928,27571556,142693690,0,0,651278223,807729054,606603,583073,0.961195953921123,65280
"191","FL","Florida","12009",2022,"brevard county",889310802,341923924,28940840,167940712,0,0,693127754,832550238,606603,583073,0.961195953921123,65280
"192","TX","Texas","48491",2022,"williamson county",1478698412,0,55615361,180096199,15236030,0,405755837,648580913,609010,553276,0.908473819285833,96653
"193","KS","Kansas","20091",2022,"johnson county",1379346992,294761994,20223892,135508112,0,0,720344816,887629930,609864,585241,0.959626998194677,93220
"194","TX","Texas","48339",2022,"montgomery county",1064840923,0,224199623,199379542,47475152,0,519782510,533863539,620451,478509,0.77123764793865,87831
