"","state","id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues"
"79","TX","163453",2020,"Blanket Independent School District",3444981,250549,789700,0,1603400,0,0,0,0,2986987,2632502
"80","TX","163461",2020,"Booker Independent School District",3168956,539584,1106103,0,1523269,0,0,0,0,5988720,5769629
"81","IA","163060",2020,"Lone Tree Community School District",5760422,217517,2410564,0,93071,0,0,0,0,6354384,6530138
"82","IA","163084",2020,"Melcher-Dallas Community School District",2781885,496643,1806073,0,334169,0,0,0,0,4484968,5068805
"83","IA","163090",2020,"Mississippi Bend Area Education Agency 9",26102032,2797401,16786627,0,1769933,0,0,0,2685516,36092976,39143813
"84","IA","163080",2020,"Marion Independent School District",36669599,3853919,12358093,0,1102199,0,0,0,128501,32266293,34180118
"85","TX","163452",2020,"Bland Independent School District",20887554,648078,1899680,0,2434716,0,0,0,0,10537495,10583181
"86","TX","163454",2020,"Bloomburg Independent School District",2726129,439062,668510,0,971915,0,0,0,0,3971275,3992897
"87","TX","163460",2020,"Boling Independent School District",6261734,591405,2365567,0,3240644,0,0,0,0,12523979,13180028
"88","TX","163456",2020,"Blue Ridge Independent School District",45603383,850954,2220895,0,3017292,0,0,0,0,13217409,14667763
"89","TX","163458",2020,"Blum Independent School District",10093665,480241,949625,0,1313275,0,0,0,0,4863028,6286706
"90","TX","163450",2020,"Bishop Consolidated Independent School District",42053503,1691263,3729542,0,4810995,0,0,0,0,21802082,22573315
"91","IA","163088",2020,"Midland Community School District",18158265,1249892,2575157,0,113093,0,0,0,0,8451261,9712612
"92","IA","163091",2020,"Missouri Valley Community School District",17155492,1313495,3885336,0,772761,0,0,0,15460,11848083,12074941
"93","IA","163099",2020,"Mormon Trail Community School District",9484868,561800,1361944,0,35052,0,0,0,0,4196047,4312269
"94","IA","163097",2020,"Monticello Community School District",33083121,3881079,5924361,0,1212681,0,0,0,0,15041086,16075155
"95","IA","163100",2020,"Morning Sun Community School District",813489,36706,719765,0,57018,0,0,0,0,2583845,3330396
"96","IA","163108",2020,"Nashua-Plainfield Community School District",7290957,1021130,3475378,0,63057,0,0,0,0,8635365,8930618
"97","IA","163105",2020,"Murray Community School District",4312393,530625,1598380,0,340804,0,0,0,0,4250654,4235443
"98","IA","163103",2020,"Mount Vernon Community School District",29969139,2374607,8165563,0,83170,0,0,0,0,19905738,20169174
"99","IA","163101",2020,"Mount Ayr Community School District",10934054,1537887,3622048,0,133871,0,0,0,0,10445263,11316077
"100","TX","163466",2020,"Boys Ranch Independent School District",5161598,670357,1512063,0,2979178,0,0,0,0,8194870,7980067
"101","TX","163463",2020,"Bosqueville Independent School District",13223618,997429,1597208,0,2319507,0,0,0,28672,9433833,10866998
"102","TX","163464",2020,"Bovina Independent School District",4410099,853403,1377119,0,2179577,0,0,0,0,6816352,7031402
"103","TX","163465",2020,"Boyd Independent School District",29799964,1390550,2900499,0,3962818,0,0,0,0,16451650,16041941
"104","TX","163467",2020,"Brackett Independent School District",6696906,511768,1851560,0,3108578,0,0,0,0,8879157,9376640
"105","IA","163110",2020,"New Hampton Community School District",27658079,1592751,5930066,0,865291,0,0,0,0,15972704,15402602
"106","IA","163112",2020,"New London Community School District",9855803,721546,2873365,0,129388,0,0,0,28504,7297050,8004279
"107","IA","163116",2020,"Nodaway Valley Community School District",12023690,790276,3596345,0,147069,0,0,0,0,10071628,10643626
"108","IA","163117",2020,"North Butler Community School District",5959869,1025011,3518866,0,540015,0,0,0,0,9171572,9251144
"109","IA","163114",2020,"Newell-Fonda Community School District",8967966,367692,3058792,0,459901,0,0,0,34238,8134493,8357790
"110","IA","163118",2020,"North Cedar Community School District",10446166,343962,3967065,0,206418,0,0,0,0,12926862,14424422
"111","IA","163119",2020,"North Fayette Valley Community School District",12692396,2131040,6019241,0,972665,0,0,0,16449,17973517,16746181
"112","IA","163120",2020,"North Iowa Community School District",5430518,678897,2638601,0,600222,0,0,0,0,7463473,8021105
"113","IA","163123",2020,"North Kossuth Community School District",3004313,1007914,1725681,0,88520,0,0,0,4550,5657438,5993159
"114","IA","163124",2020,"North Linn Community School District",10632951,877763,2868834,0,630280,0,0,0,0,8587363,9327527
"115","IA","163109",2020,"Nevada Community School District",29994329,2736608,8540094,0,1390066,0,0,0,60681,22483104,24272517
"116","OH","46503",2020,"Ehove Career Center",43810942,2444778,18894079,0,2061200,1031365,0,0,1078788,20533661,23346825
"117","TX","163474",2020,"Brookesmith Independent School District",2437169,597662,565171,0,794271,0,0,0,0,2992027,2933684
"118","TX","163472",2020,"Brock Independent School District",86889558,2177089,3156856,0,4734501,0,0,0,0,21788580,20495325
"119","TX","163470",2020,"Bremond Independent School District",13603336,793829,1326341,0,2221755,0,0,0,0,8369857,7658733
"120","IA","163126",2020,"North Polk Community School District",31321282,2410269,8523507,0,744518,0,0,0,0,25961458,25200532
"121","IA","163128",2020,"North Union Community School District",4892178,1301579,1994894,0,229629,0,0,0,0,7354816,7835106
"122","IA","163139",2020,"Northwood-Kensett Community School District",9165087,829618,2774116,0,68910,0,0,0,32443,7872775,8913027
"123","IA","163146",2020,"Orient-Macksburg Community School District",1724468,558943,967858,0,94520,0,0,0,0,3279350,3339430
"124","IA","163130",2020,"Northeast Community School District",14464139,1123436,4085234,0,273419,0,0,0,0,11584448,12177487
"125","TX","163476",2020,"Bryson Independent School District",15784535,295916,662391,0,956523,0,0,0,0,4350874,4679821
"126","TX","163477",2020,"Buckholts Independent School District",1848940,168035,503447,0,547458,0,0,0,0,2411269,2463207
"127","TX","163478",2020,"Buena Vista Independent School District",1672000,311746,599300,0,760954,0,0,0,0,8562091,10198952
"128","TX","163479",2020,"Burkeville Independent School District",3812187,270162,1277226,0,1253372,0,0,0,0,5159979,4994431
"129","TX","163480",2020,"Burnet Consolidated Independent School District",57647662,3618839,8708151,0,11737528,0,0,0,220988,42551583,45847534
"130","TX","163482",2020,"Burton Independent School District",10946393,1074554,1325524,0,1730600,0,0,0,0,8899211,11696993
"131","IA","163147",2020,"Osage Community School District",14004882,1638444,4787004,0,755499,0,0,0,440448,13937682,14209289
"132","IA","163143",2020,"Okoboji Community School District",38089851,4270628,5693594,0,1108632,0,0,0,0,16748571,18626825
"133","TX","163485",2020,"Calvert Independent School District",1969505,159757,673916,0,1135832,0,0,0,0,2400010,2543179
"134","TX","163483",2020,"Bynum Independent School District",3334457,208770,590092,0,977842,0,0,0,0,3039191,3460207
"135","TX","163484",2020,"Caddo Mills Independent School District",46285148,2137529,4696647,0,5922239,0,0,0,0,20766893,22506226
"136","TX","163487",2020,"Campbell Independent School District",2773291,325294,803557,0,1342665,0,0,0,0,4411222,4793126
"137","TX","163488",2020,"Canadian Independent School District",16245786,1705653,2877434,0,3802699,0,0,0,0,19756922,23346743
"138","TX","163490",2020,"Carrizo Springs Consolidated Independent School District",61228139,2144131,6418136,0,9141826,0,0,0,0,86996044,87077139
"139","TX","163489",2020,"Carlisle Independent School District",12927366,358005,2203489,0,3624054,0,0,0,0,8974113,10046404
"140","IA","163152",2020,"PCM Community School District",23449489,1737057,5365576,0,581057,0,0,0,0,14732539,15417808
"141","IA","163156",2020,"Paton-Churdan Community School District",1849603,298610,963961,0,432032,0,0,0,0,3224934,3841063
"142","IA","163160",2020,"Pella Community School District",58044953,2879957,12340700,0,679648,0,0,0,137937,32693777,35123914
"143","IA","163159",2020,"Pekin Community School District",9943308,1218798,3514318,0,215042,0,0,0,0,11322772,10986456
