"","state.abb","state.name","id","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","total_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"4382","TX","Texas",88067,"48019",2022,"bandera county",9911660,743841,657169,3998280,0,0,41511610,17561620,24956202,20843,0,0,69051
"4383","IA","Iowa",113324,"19021",2020,"buena vista county",10043016,4162492,134558,849818,0,0,0,19724555,20435756,20830,11860,0.569562503001489,60576
"4384","IA","Iowa",113324,"19021",2021,"buena vista county",12437641,5388455,141306,711681,0,0,0,19621728,23561039,20830,11860,0.569562503001489,60576
"4385","IA","Iowa",113324,"19021",2022,"buena vista county",6603900,0,216170,1451620,1587588,0,79093430,20609640,23786683,20830,11860,0.569562503001489,60576
"4386","IN","Indiana",224682,"18153",2020,"sullivan county",0,0,0,0,0,0,0,57031198,61443044,20820,4874,0.234135562280828,47606
"4387","GA","Georgia",71047,"13321",2020,"worth county",1084445,0,0,377045,0,0,0,15403696,18643958,20783,6146,0.295708237105466,48943
"4388","GA","Georgia",71047,"13321",2021,"worth county",704151,0,0,46690,0,0,0,16108908,20735552,20783,6146,0.295708237105466,48943
"4389","GA","Georgia",71047,"13321",2022,"worth county",922126,0,0,281038,0,0,49425442,17253798,22522919,20783,6146,0.295708237105466,48943
"4390","MI","Michigan",64907,"26129",2020,"ogemaw county",15519897,8769084,596775,637770,0,0,0,14442669,14018268,20769,0,0,45186
"4391","MI","Michigan",64907,"26129",2021,"ogemaw county",16978571,8828392,612827,2255166,0,0,0,14470556,15117123,20769,0,0,45186
"4392","MI","Michigan",64907,"26129",2022,"ogemaw county",16754344,7275778,598260,3546713,0,0,22322470,14896427,15286715,20769,0,0,45186
"4393","LA","Louisiana",116219,"22077",2020,"pointe coupee parish",16624817,73179,5395442,2159219,0,0,0,12484963,14953988,20757,6794,0.327295500529916,51988
"4394","LA","Louisiana",116219,"22077",2021,"pointe coupee parish",15469389,8704,5548257,2137849,0,0,0,13442008,20926144,20757,6794,0.327295500529916,51988
"4395","LA","Louisiana",116219,"22077",2022,"pointe coupee parish",13893184,61345,4876728,2306221,1529888,0,56623012,14436540,19319329,20757,6794,0.327295500529916,51988
"4396","AR","Arkansas",96076,"05029",2020,"conway county",1322769,6837104,0,1322769,0,0,0,14990756,15837902,20709,6340,0.306058411778904,47741
