"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","median_hh_income_21"
"90","OK","Oklahoma",125505,"4039200",2020,"kenefic","General Purpose",106947,5926,0,0,0,0,0,0,0,111263,78384,0,147,NA
"91","CA","California",101856,"0647710",2020,"mill valley","General Purpose",NA,NA,NA,NA,NA,NA,71344284,24458045,NA,53022856,47362592,NA,14230,NA
"92","OK","Oklahoma",125567,"4039550",2020,"ketchum","General Purpose",2421,2421,0,0,0,0,0,0,0,213112,299836,92575085,501,NA
"93","NY","New York",1035913,"3665255",2020,"saratoga springs","General Purpose",274497641,5782266,29845366,0,136580430,0,0,0,4488436,68745051,60649663,0,28488,NA
"94","NY","New York",122464,"3665431",2020,"scarsdale","General Purpose",220208169,8624052,29286366,0,148766107,0,0,0,5120471,77755718,67751074,0,18247,NA
"95","OK","Oklahoma",125543,"4039600",2020,"keyes","General Purpose",0,0,0,0,0,0,0,0,0,447448,534466,0,273,NA
"96","OK","Oklahoma",125899,"4040300",2020,"krebs","General Purpose",462122,89491,0,0,0,0,0,0,0,2950129,3066941,1314757,2067,NA
"97","KY","Kentucky",115975,"2170284",2020,"shively","General Purpose",27778208,387463,27390745,0,0,0,0,0,0,17286745,12020737,0,15641,NA
"98","KY","Kentucky",115975,"2170284",2020,"shively","General Purpose",27778208,387463,27390745,0,0,0,0,0,0,17286745,12020737,0,15641,NA
"99","AR","Arkansas",96088,"0517320",2020,"danville","General Purpose",48532,48532,84208,0,0,0,0,0,53396,1548170,1757444,0,2024,NA
"100","OK","Oklahoma",37336,"4041850",2020,"lawton","General Purpose",220378461,9202025,67593810,216068,13968037,0,0,0,6877021,114466217,129654076,0,90387,44751
"101","OK","Oklahoma",125879,"4037850",2020,"jennings","General Purpose",24024,10364,0,0,0,0,0,0,0,289510,263196,118780,281,NA
"102","AR","Arkansas",111010,"0517380",2020,"dardanelle","General Purpose",108445,108445,812171,0,0,0,0,0,188641,4512121,4614829,0,4516,NA
"103","KY","Kentucky",33604,"2160852",2020,"pikeville","General Purpose",47995433,2221629,14065471,0,3549458,0,0,0,0,35458076,45269455,9475195,7755,NA
"104","OK","Oklahoma",125608,"4040400",2020,"kremlin","General Purpose",53175,0,0,0,0,0,0,0,0,349563,212578,280266,246,NA
"105","KY","Kentucky",96875,"2171688",2020,"somerset","General Purpose",98343792,3175230,42082437,0,10780163,0,0,0,0,51319128,42850909,0,11921,NA
"106","OK","Oklahoma",125609,"4040700",2020,"lahoma","General Purpose",14965,12502,0,0,0,0,0,0,0,439805,490961,91593,534,NA
"107","AR","Arkansas",101754,"0519600",2020,"dover","General Purpose",49318,49318,863661,0,0,0,0,0,62906,881888,1044296,0,1332,NA
"108","OK","Oklahoma",125572,"4039000",2020,"kellyville","General Purpose",932265,7315,0,0,0,0,0,0,0,786274,792694,114839,1017,NA
"109","KY","Kentucky",116141,"2173164",2020,"stanton","General Purpose",5585230,474277,2288062,0,593259,0,0,0,57893,4350787,4147280,0,3253,NA
"110","KY","Kentucky",115972,"2167944",2020,"st matthews","General Purpose",18702743,0,13566751,0,3524219,0,0,0,710436,15080157,15168289,0,17537,NA
"111","KY","Kentucky",115972,"2167944",2020,"st matthews","General Purpose",18702743,0,13566751,0,3524219,0,0,0,710436,15080157,15168289,0,17537,NA
"112","OK","Oklahoma",125660,"4041250",2020,"lamar","General Purpose",0,0,0,0,0,0,0,0,0,89154,103360,0,118,NA
"113","OK","Oklahoma",125780,"4039900",2020,"kingston","General Purpose",333155,71452,0,0,0,0,0,0,24504,2016333,2067400,0,1426,NA
"114","AR","Arkansas",101755,"0521190",2020,"elkins","General Purpose",96680,96680,1052670,0,0,0,0,0,182744,3725442,3392682,0,3600,NA
"115","OK","Oklahoma",125573,"4039750",2020,"kiefer","General Purpose",963908,93952,0,0,0,0,0,0,0,1583642,1672132,1241326,2180,NA
"116","AR","Arkansas",110974,"0521730",2020,"england","General Purpose",136712,136712,1491402,0,0,0,0,0,23212,2681890,2914402,0,2477,NA
