"","state.abb","name_census","population","geo_id","source_year","state.name","name","government_id","id","nces_district_id","year","category","identifier","current_assets","net_pension_assets","non_current_assets","net_opeb_assets","total_assets","net_pension_liability","net_opeb_liability","current_portion_long_term_liabilities","compensated_absences","current_liabilities","total_liabilities","bonds_outstanding","loans_outstanding","notes_outstanding","total_net_position_governmental","total_net_position_business","total_net_position","unrestricted","expenses","charges_for_services","operating_grants","capital_grants","general_revenue","activities_change_in_net_position","cash","receivables","revenues","name_midfile","flg_acfr","flg_muni","flg_county"
"90","CA","santa clarita city",228679,"0669088","2023","California","santa clarita","05201940200000",31800,NA,2023,"General Purpose","CA Santa Clarita 2023",476963660,NA,1345011094,5126050,1821974754,38788318,NA,8023648,4854817,67268244,256202427,92553435,NA,97376,1470979415,108024731,1579004146,199345044,227069907,93806527,50266060,43972913,118793442,79769035,444652232,31456261,306838942,"city of santa clarita",1,1,0
"91","VA","richmond city",226618,"5167000","2023","Virginia","richmond","47212700100000",230420,NA,2023,"General Purpose","VA Richmond 2023",1068031126,NA,3049057689,2803054,4117088815,330641984,1384109,190082234,29023318,556938084,2565021295,1660415188,NA,72458000,594401351,982510892,1576912243,241123502,1328154465,698351526,54919400,30361743,760310564,215788768,794982813,246124619,1543943233,"city of richmond",1,1,0
"92","FL","hialeah city",223123,"1230000","2023","Florida","hialeah","10201300800000",96403,NA,2023,"General Purpose","FL Hialeah 2023",331314863,2320757,439307862,NA,770622725,380480333,267250109,28418031,35193544,169916866,996605986,103151379,412020,9109981,-270008347,86790731,-183217616,-584573163,344168904,173358942,22502980,6527636,189186303,47406957,215083577,65323317,391575861,"city of hialeah",1,1,0
"93","CA","san bernardino city",222068,"0665000","2023","California","san bernardino","05203601000000",31848,NA,2023,"General Purpose","CA San Bernardino 2023",523280258,NA,758274821,2221746,1281555079,519633906,NA,30579973,10629192,157353732,869744795,97648414,NA,2776000,176058133,345574144,521632277,-125212424,345151363,113351069,48271639,8613085,209588439,34672869,464173986,53503709,379824232,"city of san bernardino",1,1,0
"94","WA","tacoma city",219175,"5370000","2023","Washington","tacoma","48202701600000",39559,NA,2023,"General Purpose","WA Tacoma 2023",1779711000,94395000,4197739000,NA,5977450000,177457000,192069000,219347000,57289000,463088000,2353984000,1388145000,198056000,841000,964920000,2517052000,3481972000,722080000,1331776000,1004742000,45420000,61952000,365786000,146124000,1322402000,198773000,1477900000,"city of tacoma",1,1,0
"95","CA","modesto city",218467,"0648354","2023","California","modesto","05205000200000",31888,NA,2023,"General Purpose","CA Modesto 2023",529970556,NA,1564387712,NA,2094358268,416053986,18938102,27235376,11919153,97542221,862965247,239283169,26842447,673000,489433701,847728789,1337162490,54599470,400137714,211651720,20802618,7484155,219696776,59497555,410658819,94227925,459635269,"city of modesto",1,1,0
"96","AL","huntsville city",215052,"0137000","2023","Alabama","huntsville","01204500100000",31569,NA,2023,"General Purpose","AL Huntsville 2023",720696523,NA,2124157866,NA,2844854389,314449647,65787432,64495396,38394896,158382263,1685196454,236568715,NA,NA,818979285,415125563,1234104848,-433697624,595796816,142769699,23274667,49462479,520120211,139830240,458896743,62614076,735627056,"city of huntsville",1,1,0
"97","IA","des moines city",214125,"1921000","2023","Iowa","des moines","16207700500000",71073,NA,2023,"General Purpose","IA Des Moines 2023",716362402,NA,1914395585,NA,2630757987,143809194,29300054,101678328,NA,181484406,1087498946,740084410,5196000,2528083,950112863,425181539,1375294402,77683417,496903910,181757123,70548406,76383841,300551271,132336731,475632775,236441112,629240641,"city of des moines",1,1,0
"98","NY","yonkers city",211585,"3684000","2023","New York","yonkers","33206002800000",36072,NA,2023,"General Purpose","NY Yonkers 2023",754136078,0,948771637,0,1702907715,393792836,2550167509,113513492,48251020,350460921,4223801170,785511510,1400000,3871841,-2889273531,NA,-2889273531,-3288096931,1434203099,103467930,229422900,3343858,1149246424,51278013,207755368,215417159,1485481112,"city of yonkers",1,1,0
"99","NY","rochester city",211321,"3663000","2023","New York","rochester","33202800800000",36037,NA,2023,"General Purpose","NY Rochester 2023",692098000,NA,982494000,NA,1674592000,229967000,1123527000,32531000,20882000,433021000,1924214000,96795000,13063000,107204000,-642362000,104153000,-538209000,-1337467000,843394000,238398000,60285000,49049000,530873000,35211000,409976000,158014000,878605000,"city of rochester",1,1,0
