"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"54","AR","Arkansas",49082,"05000",2021,"arkansas",13893664000,1784111000,2485079000,0,2944665000,0,33196845000,0,308084000,27137766000,29104967000,3011555,1670677,55.476131022034,52577
"55","NY","New York",42220,"36000",2021,"new york",231882000000,47733000000,13861000000,23000000,77861000000,3000000,204039000000,0,1592000000,292949000000,288036000000,20201230,17665166,87.4459099038876,74230
"56","ME","Maine",33873,"23000",2021,"maine",9546245000,1112683000,2692100000,5039000,2931246000,0,10517354000,0,69304000,12148245000,13034219000,1362341,526309,38.6321813853764,64823
"57","AZ","Arizona",40623,"04000",2021,"arizona",27669843000,6938052000,6262883000,0,1585805000,37328000,63302682000,0,506854000,56310879000,62994579000,7151507,6385230,89.2851599566077,68967
"58","CO","Colorado",31946,"08000",2021,"colorado",35468430000,11422957000,9244732000,0,1260020000,0,56898947000,0,695124000,46255427000,51048135000,5773733,4966936,86.0267065531822,82228
"59","CT","Connecticut",149448,"09000",2021,"connecticut",106761347000,5205641000,42551460000,0,26040226000,0,43684541000,0,791037000,47016379000,45371906000,3605942,3110153,86.2507293513155,83628
"60","DC","District of Columbia",47298,"11000",2021,"district of columbia",18144143000,4111604000,0,2056646000,0,313355000,27265884000,0,324082000,17544207000,18370068000,689546,689545,100,91072
"61","FL","Florida",32221,"12000",2021,"florida",76561985000,16014011000,10243863000,0,7142549000,0,183625218000,0,850110000,128032435000,136963300000,21538226,19714806,91.534194591216,63054
"62","CA","California",31665,"06000",2021,"california",480810792000,151339228000,94255760000,0,93951696000,0,419461604000,238896776000,5907133000,569018193000,573972781000,39538245,37259490,94.2366327389068,84831
"63","IL","Illinois",1267369,"17000",2021,"illinois",270295626000,22967916000,151870659000,0,56669748000,0,61507898000,0,448385000,124485837000,119714303000,12812545,11137590,86.9274774306482,72215
"64","GA","Georgia",1265711,"13000",2021,"georgia",44216533000,13756082000,8456148000,90146000,6370648000,254679000,73304004000,0,681405000,73263471000,78710603000,10711937,7933986,74.0669729426354,66507
"65","ID","Idaho",32673,"16000",2021,"idaho",4619378000,1949499000,564007000,0,100958000,0,22044972000,0,90481000,12729692000,14814011000,1839092,1273437,69.2421752742909,66318
"66","HI","Hawaii",71062,"15000",2021,"hawaii",32322093000,3997605000,7814788000,0,6516876000,0,25972001000,0,293786000,19359781000,17733597000,1455273,1252450,86.0630081957244,85547
"67","IN","Indiana",196751,"18000",2021,"indiana",18873711000,6347078000,11392203000,0,98219000,0,38207125000,0,207820000,46967068000,51623118000,6785668,4829686,71.1762739760266,62723
"68","LA","Louisiana",90240,"22000",2021,"louisiana",37286338000,11000094000,7652518000,0,6249082000,0,40664471000,0,238418000,42128306000,43165436000,4657749,3332237,71.5416669439818,52090
"69","MI","Michigan",80814,"26000",2021,"michigan",38108406000,11540044000,7651000000,0,7778200000,0,59599175000,0,459700000,84563377000,91287735000,10077325,7404258,73.4743951548282,63444
"70","MA","Massachusetts",149462,"25000",2021,"massachusetts",131059556000,14272168000,47141778000,0,19694477000,0,49237322000,0,984935000,95181525000,94323492000,7029949,6416895,91.2798116962121,89577
"71","IA","Iowa",1036991,"19000",2021,"iowa",9323755000,26687000,1077174000,0,468779000,0,31703103000,0,587113000,27804747000,30159253000,3190372,2014831,63.1535411734505,65645
"72","MD","Maryland",149463,"24000",2021,"maryland",70729931000,11279016000,20663518000,0,15681628000,0,61142179000,0,412144000,61056711000,63281519000,6177213,5288760,85.6170992018421,90129
"73","KS","Kansas",33447,"20000",2021,"kansas",10466817000,2953827000,2261074000,0,51241000,0,23567266000,0,120267000,20499676000,21921225000,2937847,2124059,72.2990387626452,64128
"74","NC","North Carolina",40620,"37000",2021,"north carolina",29389268000,9474875000,3122174000,0,5429965000,9458000,95776578000,0,623072000,66071685000,75234240000,10439414,6964727,66.7158553738974,61997
"75","KY","Kentucky",90208,"21000",2021,"kentucky",41626348000,3523315000,26615447000,0,3195447000,0,37741186000,0,274075000,33360397000,39524417000,4505893,2644856,58.6984524070561,55532
"76","ND","North Dakota",1241002,"38000",2021,"north dakota",10188478469,5110750872,1671265000,31122000,42116000,0,38943465036,0,93441000,9831987470,13336173518,779091,474989,60.9668409716928,67603
"77","MO","Missouri",148599,"29000",2021,"missouri",18579166000,2539102000,7482744000,0,3275006000,0,49666805000,0,196555000,35221851000,38635951000,6154920,4275663,69.4674806938782,61815
