"","state","name","id","ncesID","state.abb","enrollment_20","enrollment_21","enrollment_22","government_level"
"3251","TX","Ballinger Independent School District","39157","4809300","TX",906,854,839,"school district"
"3252","TX","Lubbock Independent School District","39079","4828500","TX",27348,26451,25659,"school district"
"3253","TX","Cleburne Independent School District","39047","4814310","TX",6902,6859,7068,"school district"
"3254","TX","Burleson Independent School District","39046","4812180","TX",12810,12547,12746,"school district"
"3255","TX","Crandall Independent School District","39055","4815510","TX",4592,4868,5451,"school district"
"3256","TX","Dayton Independent School District","39072","4816410","TX",5564,5480,5619,"school district"
"3257","TX","Edna Independent School District","39036","4818210","TX",1583,1483,1559,"school district"
"3258","TX","Giddings Independent School District","39069","4820640","TX",1917,1914,1939,"school district"
"3259","TX","Greenville Independent School District","39034","4821720","TX",5364,5277,5325,"school district"
"3260","TX","Jefferson Independent School District","39088","4824730","TX",1271,1227,1163,"school district"
"3261","TX","Karnack Independent School District","39004","4825110","TX",144,143,134,"school district"
"3262","TX","Groesbeck Independent School District","39075","4821810","TX",1612,1522,1546,"school district"
"3263","TX","Joshua Independent School District","39049","4824930","TX",5618,5490,5880,"school district"
"3264","TX","Llano Independent School District","39077","4827810","TX",1778,1731,1881,"school district"
"3265","TX","Kemp Independent School District","39057","4825320","TX",1624,1654,1692,"school district"
"3266","TX","Mexia Independent School District","39076","4830420","TX",1878,1844,1856,"school district"
"3267","TX","Midway Independent School District","39083","4830640","TX",8375,8253,8434,"school district"
"3268","TX","Paris Independent School District","39062","4834290","TX",3964,3857,3808,"school district"
"3269","TX","Moody Independent School District","39084","4831290","TX",694,666,688,"school district"
"3270","TX","Palacios Independent School District","39090","4834020","TX",1386,1316,1322,"school district"
"3271","TX","Port Arthur Independent School District","39040","4835400","TX",8310,7957,8003,"school district"
"3272","TX","Progreso Independent School District","39021","4835910","TX",1700,1533,1393,"school district"
"3273","TX","Mabank Independent School District","39058","4828680","TX",3682,3544,3659,"school district"
"3274","TX","Malakoff Independent School District","39013","4828780","TX",1428,1361,1420,"school district"
"3275","TX","Spring Branch Independent School District","38995","4841100","TX",35188,33288,33545,"school district"
"3276","TX","Plainview Independent School District","38975","4835070","TX",5247,4843,4752,"school district"
"3277","TX","Texas City Independent School District","38954","4842510","TX",8451,8044,7811,"school district"
"3278","TX","Stamford Independent School District","39052","4841400","TX",640,595,620,"school district"
"3279","TX","Borger Independent School District","39035","4810890","TX",2607,2472,2500,"school district"
"3280","TX","Fort Stockton Independent School District","39139","4820190","TX",2464,2310,2248,"school district"
"3281","TX","Venus Independent School District","39051","4844010","TX",2182,2197,2303,"school district"
"3282","TX","Brenham Independent School District","39237","4811280","TX",5100,4944,4881,"school district"
"3283","TX","Arp Independent School District","39178","4808730","TX",889,876,924,"school district"
"3284","TX","Arlington Independent School District","39189","4808700","TX",59532,56840,56311,"school district"
"3285","TX","Conroe Independent School District","39105","4815000","TX",64799,64563,67761,"school district"
"3286","TX","Hearne Independent School District","39155","4822830","TX",747,721,741,"school district"
"3287","TX","Corrigan Camden Independent School District","39140","4815300","TX",820,789,819,"school district"
"3288","TX","Carthage Independent School District","39133","4813110","TX",2702,2653,2674,"school district"
"3289","TX","Dumas Independent School District","39111","4817610","TX",4317,4170,4281,"school district"
"3290","TX","Friona Independent School District","39138","4819980","TX",1136,1086,1080,"school district"
"3291","TX","Hemphill Independent School District","39162","4822890","TX",912,879,902,"school district"
"3292","TX","Hidalgo Independent School District","39016","4823100","TX",3199,2996,2839,"school district"
"3293","TX","Willis Independent School District","39110","4845900","TX",7865,7882,8432,"school district"
"3294","TX","Montgomery Independent School District","39107","4831260","TX",9025,8920,9343,"school district"
"3295","TX","Mineral Wells Independent School District","39132","4830950","TX",3237,3116,3235,"school district"
"3296","TX","Nocona Independent School District","39104","4832790","TX",812,805,806,"school district"
"3297","TX","Hondo Independent School District","39095","4823430","TX",1904,1823,1771,"school district"
"3298","TX","Orangefield Independent School District","39130","4833780","TX",1822,1791,1851,"school district"
"3299","TX","Presidio Independent School District","39147","4835800","TX",1171,1058,1047,"school district"
"3300","TX","Magnolia Independent School District","39106","4828740","TX",13290,13122,13658,"school district"
"3301","TX","Olton Independent School District","39066","4833660","TX",599,596,582,"school district"
"3302","AL","Hale County Board of Education","1017641","0101710","AL",2473,2390,2344,"school district"
"3303","AL","Monroe County Board of Education","1017661","0102400","AL",3307,3152,3163,"school district"
"3304","AL","Decatur City Board of Education","1017646","0101170","AL",8842,8781,8679,"school district"
"3305","AL","Clarke County Board of Education","1017595","0100720","AL",2362,2271,2254,"school district"
"3306","AL","Jackson County Board of Education","1017656","0101830","AL",5188,5158,5136,"school district"
"3307","AL","Mountain Brook City Board of Education","1017776","0102490","AL",4367,4441,4340,"school district"
"3308","AL","Phenix City Board of Education","1017779","0102700","AL",7449,7265,7310,"school district"
"3309","OK","Briggs School District No. C044","227761","4005430","OK",494,424,420,"school district"
"3310","NV","Mineral County School District","42619","3200330","NV",562,572,607,"school district"
"3311","AL","Tuscaloosa City Board of Education","1027220","0103360","AL",10910,10744,10964,"school district"
"3312","AL","Vestavia Hills Board of Education","1027204","0103430","AL",7137,7087,7095,"school district"
"3313","AR","Alma School District No. 30","1027222","0502250","AR",3297,3250,3210,"school district"
"3314","AL","Troy City Board of Education","1027219","0103330","AL",1776,1682,1682,"school district"
"3315","NY","Garden City Union Free School District","197098","3611760","NY",3976,3951,3956,"school district"
"3316","NY","South Huntington Union Free School District","197111","3627300","NY",5974,5799,5858,"school district"
"3317","OH","Eaton Community School District","197129","3904393","OH",1944,1864,1834,"school district"
"3318","NY","Warrensburg Central School","197115","3629910","NY",706,675,684,"school district"
"3319","AR","Beebe School District","1027237","0502880","AR",3356,3266,3390,"school district"
"3320","AR","Cossatot River School District","1027255","0500405","AR",967,906,881,"school district"
"3321","AR","Bergman School District No. 3","1027231","0503090","AR",1176,1114,1142,"school district"
"3322","AR","Bradford School District","1027232","0503480","AR",494,465,473,"school district"
"3323","AR","Deer-Mt Judea School District","1027259","0500072","AR",454,428,404,"school district"
"3324","OR","Scio School District","228454","4111040","OR",863,2838,1892,"school district"
"3325","WA","South Whidbey School District No. 206","65087","5308190","WA",1358,1254,1203,"school district"
"3326","AR","Hillcrest School District No. 22","1027276","0500071","AR",471,447,420,"school district"
"3327","AR","Horatio School District No. 55","1027271","0507860","AR",834,783,707,"school district"
"3328","AR","Lamar School District No. 39","1027279","0508700","AR",1396,1345,1350,"school district"
"3329","AR","Lakeside School District No. 1","1027281","0508640","AR",1002,922,927,"school district"
"3330","AR","Mt. Vernon-Enola School District No. 41","1027295","0510080","AR",545,519,563,"school district"
"3331","MN","Independent School District No. 2752","167805","2711820","MN",7323,7119,6909,"school district"
"3332","AR","Newport School District","1027309","0500023","AR",1245,1154,1214,"school district"
"3333","AZ","Buckeye Union High School District No. 201","1027345","0401410","AZ",4561,4785,5176,"school district"
"3334","AR","Mena School District No. 23","1027296","0509750","AR",1763,1734,1724,"school district"
"3335","AR","Pangburn School District","1027315","0511070","AR",804,762,750,"school district"
"3336","AR","Nettleton School District","1027307","0510440","AR",3717,3470,3623,"school district"
"3337","AZ","Balsz Elementary School District No. 31","1027340","0401050","AZ",2289,2198,2278,"school district"
"3338","NH","Hudson School District","35585","3303930","NH",3197,3053,3046,"school district"
