"","state.abb","state.name","id","geo_id","year","name","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","population","median_hh_income_21"
"61","NC","North Carolina",36713,"3712000",2020,"charlotte",6759442000,575342000,618604000,0,531962000,0,18033989000,0,87508000,2026525000,2284998000,874607,70869
"62","NC","North Carolina",36706,"3719000",2020,"durham",1029720774,63244220,84911103,0,155600034,0,967199798,0,30680043,484850401,556945244,283588,71343
"63","NC","North Carolina",36710,"3728000",2020,"greensboro",1170826645,99244554,90709688,0,131940179,0,2271809786,0,17117085,541307840,613360174,299101,51825
"64","TX","Texas",31543,"4804000",2020,"arlington",2015112000,55342000,140590000,275000,125761000,65000,4642449000,0,39544000,598609000,988707000,394257,59889
"65","TX","Texas",38712,"4805000",2020,"austin",15202009000,536339000,3003314000,0,3504494000,0,18022079000,0,180250000,4579745000,4246064000,961900,79542
"66","NC","North Carolina",36728,"3755000",2020,"raleigh",2241239412,191899615,157437366,0,190900860,0,4823292790,0,32553519,795974736,973529224,467762,74612
"67","NC","North Carolina",36708,"3775000",2020,"winston-salem",1083821870,29047731,108050925,0,7852505,0,2121870086,0,16677959,399880634,452557098,249562,54228
"68","TX","Texas",43166,"4824000",2020,"el paso",2782722728,175729645,590743738,0,156786139,0,2850676150,0,69805882,844169891,933071876,678697,51241
"69","TX","Texas",38708,"4827000",2020,"fort worth",6248476000,379448000,2259058000,0,970878000,0,8971644000,0,160866000,514751000,2590058000,918937,68235
"70","TX","Texas",44101,"4829000",2020,"garland",1457720709,129484878,15972628,0,85640582,0,2488565954,0,29549404,628309131,726223208,246001,61607
"71","NE","Nebraska",35447,"3128000",2020,"lincoln",1682625102,173650869,75894676,0,20079000,0,3971024659,0,31729000,763956441,878865771,291105,62294
"72","OH","Ohio",36933,"3915000",2020,"cincinnati",3389782000,125427000,1498856000,0,211704000,0,4154115000,0,142610000,1432631000,1101279000,309561,42733
"73","OH","Ohio",36922,"3916000",2020,"cleveland",4080064000,410745000,893120000,0,344486000,0,6610756000,0,0,1542066000,1566228000,372632,35562
"74","OH","Ohio",44337,"3918000",2020,"columbus",7128521000,239192000,1466875000,0,471418000,0,9939955000,0,116703000,2196145000,2468026000,905839,58202
"75","TX","Texas",43770,"4835000",2020,"houston",25651079000,803248000,4944343000,0,2233624000,0,26236230000,0,522645000,5521131000,5507561000,2301572,55499
"76","NE","Nebraska",35443,"3137000",2020,"omaha",3055956416,83975087,967110658,0,491560909,0,3342876261,0,93007157,779610291,945243629,491743,62948
"77","TX","Texas",47012,"4837000",2020,"irving",1041752554,49882637,164966856,0,16706512,0,2026247410,0,36386710,427556057,465446366,256687,70340
"78","TX","Texas",40881,"4841464",2020,"laredo",1409404951,46912739,250329436,0,265995373,0,2024649090,0,44279265,549516642,526385016,255212,52438
"79","TX","Texas",38693,"4845000",2020,"lubbock",1869606346,96255991,167632275,0,150930890,0,2981185936,0,38129914,640991169,749999064,257157,54747
"80","OH","Ohio",98182,"3977000",2020,"toledo",1732226000,48479000,367616000,0,113536000,0,2607625000,0,37817000,479463000,561603000,270880,44150
"81","TX","Texas",38665,"4858016",2020,"plano",747692669,66533729,74014899,0,12327491,0,2363327140,0,48803200,599131634,649535368,285469,95002
"82","VA","Virginia",230275,"5116000",2020,"chesapeake",1137616969,84316399,162210178,0,41676036,0,3110000000,0,23227413,815696278,855449210,249415,88815
"83","NM","New Mexico",35917,"3502000",2020,"albuquerque",2308654159,201164074,773785015,0,256989344,0,5617109467,0,47498529,1083142461,1120158995,564581,58512
"84","NV","Nevada",35518,"3231900",2020,"henderson",1048710549,67676930,411959319,0,85625605,0,3585036318,0,50511244,573522707,586622261,317310,77924
"85","NV","Nevada",35519,"3240000",2020,"las vegas",1814290240,97549812,878316585,0,55107913,0,5911170390,0,48860079,958211865,1224995479,644866,59746
"86","TX","Texas",38656,"4865000",2020,"san antonio",6535995000,443951000,993046000,0,1170748000,0,8654512000,0,245737000,2580564000,2570306000,1434367,54923
