"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income_21","url"
"36","FL","Florida",68695,"12011",2020,"broward county","General Purpose",7728588000,587100000,1835950000,0,315136000,0,12958706000,0,140153000,3040683000,3660292000,34039000,4337017000,346895000,0,1944376,1944223,0.999921825779492,65536,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Broward%20County/FL%20Broward%20County%202020.pdf"
"37","FL","Florida",32251,"12095",2020,"orange county","General Purpose",3034626323,272763331,1287393180,0,42748723,171947,9564794868,0,96177525,2545112534,2730260273,0,1100980207,95610751,4275000,1429901,1396338,0.97652296511384,64579,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Orange%20County/FL%20Orange%20County%202020.pdf"
"38","FL","Florida",1266402,"12099",2020,"palm beach county","General Purpose",4197746860,398776095,1867489307,0,447740399,0,6938548797,0,210094621,2768867581,2731751287,-996472373,863515389,0,83415643,1492198,1479525,0.991511810485387,70024,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Palm%20Beach%20County/FL%20Palm%20Beach%20County%202020.pdf"
"39","FL","Florida",32255,"12103",2020,"pinellas county","General Purpose",1957358812,271625819,710305897,0,697335520,0,5202781324,0,70969447,1441761042,1558505792,-465296595,51969653,0,76992808,959103,957280,0.998095103048982,61851,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Pinellas%20County/FL%20Pinellas%20County%202020.pdf"
"40","FL","Florida",1268842,"12105",2020,"polk county","General Purpose",1366570778,167107092,519641860,0,198094593,0,4918498326,0,19968755,952903062,972172473,0,240683017,0,82482000,725041,646127,0.891153113043862,56344,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Polk%20County/FL%20Polk%20County%202020.pdf"
"41","FL","Florida",32237,"12057",2020,"hillsborough county","General Purpose",3229923000,478744000,1266841000,0,116670000,0,12562151000,0,60996000,2324477000,2543904000,1525682000,1094461000,0,128963000,1459773,1406155,0.963276890342398,65818,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Hillsborough%20County/FL%20Hillsborough%20County%202020.pdf"
"42","OR","Oregon",103191,"41051",2020,"multnomah county","General Purpose",1265422000,170272000,581413000,0,121091000,0,1983688000,0,32855000,1357839000,1373076000,0,344351000,3125000,0,815429,804977,0.987183417787959,77851,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OR/Multnomah%20County/OR%20Multnomah%20County%202020.pdf"
"43","FL","Florida",32242,"12071",2020,"lee county","General Purpose",2530890000,204592000,585079000,0,807852000,0,5275482000,0,33546000,1281787000,1299023000,0,736809000,11000000,94026000,760820,730937,0.960720115874672,66426,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Lee%20County/FL%20Lee%20County%202020.pdf"
"44","FL","Florida",69702,"12086",2020,"miami-dade county","General Purpose",27654208000,1937708000,4414212000,0,692290000,0,29642725000,0,823163000,10059397000,9453906000,0,17236196000,599543000,391345000,2701762,2678436,0.991364540317503,58905,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Miami-Dade%20County/FL%20Miami-Dade%20County%202020.pdf"
"45","PA","Pennsylvania",37703,"42003",2020,"allegheny county","General Purpose",3045677641,301434463,1648275854,0,57453399,0,1432271832,0,10556597,2192761099,2005108266,0,1012287685,0,0,1250585,1220381,0.9758535653114,68874,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/PA/Allegheny%20County/PA%20Allegheny%20County%202020.pdf"
