ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,AZ ,0400414,7-Independent Charter District,93,–,1156000,19000,1004000,133000,2637000
ACADEMY OF DALLAS,Texas,TX ,4800090,7-Independent Charter District,341,21.85,4330000,478000,3278000,574000,3729000
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,DE ,1000017,7-Independent Charter District,329,25.00,4703000,628000,3362000,713000,4178000
ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,NEW YORK,NY ,3601190,7-Independent Charter District,206,12.67,0,0,0,0,2824000
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,DC ,1100094,7-Independent Charter District,0,0.00,–,–,–,–,–
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,AZ ,0400368,7-Independent Charter District,634,–,7881000,1075000,4901000,1905000,7776000
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,AZ ,0400940,7-Independent Charter District,1158,–,12562000,80000,8136000,4346000,10179000
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,AZ ,0400891,7-Independent Charter District,6008,–,67552000,1494000,44096000,21962000,204873000
ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,CA ,0602503,7-Independent Charter District,63,5.00,1389000,646000,672000,71000,987000
ACADEMY OF SEMINOLE,OKLAHOMA,OK ,4000803,7-Independent Charter District,295,14.16,2560000,449000,1866000,245000,2632000
ACADEMY OF THE CITY CHARTER SCHOOL,New York,NY ,3601053,7-Independent Charter District,631,0.00,0,0,0,0,12343000
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500021,7-Independent Charter District,540,55.00,13473000,10839000,2205000,429000,11501000
ACADEMY OF TUCSON INC. (78897),Arizona,AZ ,0400202,7-Independent Charter District,578,–,5653000,102000,4850000,701000,4879000
ACADEMY OF WARREN,Michigan,MI ,2600308,7-Independent Charter District,644,35.85,8256000,343000,6350000,1563000,10497000
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,CO ,0801920,1-Regular local school district that is NOT a component of a supervisory union,25711,1606.82,312675000,136807000,149810000,26058000,325529000
ACADEMY WITH COMMUNITY PARTNERS  INC (79213),Arizona,AZ ,0400276,7-Independent Charter District,118,–,1300000,1000,1111000,188000,1428000
ACADIA ACADEMY,MAINE,ME ,2314831,7-Independent Charter District,257,15.00,3902000,493000,2763000,646000,3875000
ACADIA PARISH,Louisiana,LA ,2200030,1-Regular local school district that is NOT a component of a supervisory union,9603,509.22,120997000,33237000,56797000,30963000,113539000
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,LA ,2200231,7-Independent Charter District,1417,65.48,15596000,7986000,6338000,1272000,23904000
ACALANES UNION HIGH,California,CA ,0601650,1-Regular local school district that is NOT a component of a supervisory union,5535,283.97,109334000,90155000,15253000,3926000,98564000
ACCELERATED ACHIEVEMENT ACADEMY DISTRICT,CALIFORNIA,CA ,0601877,7-Independent Charter District,144,7.86,2093000,422000,1357000,314000,1778000
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CA ,0601471,7-Independent Charter District,495,19.00,7837000,1972000,4490000,1375000,6741000
ACCELERATED DISTRICT,CALIFORNIA,CA ,0601732,7-Independent Charter District,752,35.00,11797000,2908000,6702000,2187000,12280000
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,AZ ,0400129,7-Independent Charter District,233,–,2688000,401000,2220000,67000,2198000
ACCELERATED INTERMEDIATE ACADEMY,Texas,TX ,4800192,7-Independent Charter District,235,14.99,2889000,77000,2340000,472000,1696000
ACCELERATED LEARNING CENTER INC. (4297),Arizona,AZ ,0400121,7-Independent Charter District,168,–,1812000,184000,1548000,80000,1398000
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,MA ,2500578,4-Regional Education Service Agency (RESA),†,†,–,–,–,–,–
ACCLAIM CHARTER SCHOOL (4325),Arizona,AZ ,0400122,7-Independent Charter District,291,–,3292000,14000,2439000,839000,3261000
ACCOMACK COUNTY PUBLIC SCHOOLS,Virginia,VA ,5100060,1-Regular local school district that is NOT a component of a supervisory union,4863,303.98,68037000,20718000,37663000,9656000,59967000
ACE ACADEMY (SDA),Michigan,MI ,2600943,7-Independent Charter District,136,5.75,–,–,–,–,–
ACE AMANDLA CHARTER SCHOOL,ILLINOIS,IL ,1701426,7-Independent Charter District,171,–,–,–,–,–,–
ACE CHARTER HIGH DISTRICT,CALIFORNIA,CA ,0601561,7-Independent Charter District,430,17.00,6142000,1839000,3358000,945000,5319000
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,CA ,0602217,7-Independent Charter District,223,9.00,3679000,817000,2261000,601000,4019000
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,CA ,0601852,7-Independent Charter District,244,9.50,3881000,1257000,2078000,546000,3846000
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,CA ,0602138,7-Independent Charter District,239,8.50,3231000,2274000,452000,505000,3369000
ACE PREPARATORY ACADEMY,INDIANA,IN ,1800172,7-Independent Charter District,161,10.00,1646000,56000,1285000,305000,1524000
ACES TECHNICAL CHARTER SCHOOL,NEW MEXICO,NM ,3500185,7-Independent Charter District,45,7.00,1074000,222000,530000,322000,1030000
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,CA ,0602165,7-Independent Charter District,607,24.50,9536000,2092000,5844000,1600000,8205000
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,OH ,3901362,7-Independent Charter District,105,6.00,1487000,26000,1034000,427000,1673000
ACHIEVE CHARTER ACADEMY,Michigan,MI ,2600963,7-Independent Charter District,792,34.52,7256000,26000,6644000,586000,7204000
ACHIEVE CHARTER HIGH DISTRICT,CALIFORNIA,CA ,0601615,7-Independent Charter District,†,†,†,†,†,†,†
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,CA ,0602133,7-Independent Charter District,216,10.00,3988000,983000,2742000,263000,4554000
ACHIEVE COMMUNITY CHARTER SCHOOL,NEW JERSEY,NJ ,3400792,7-Independent Charter District,184,18.00,5506000,4439000,112000,955000,5078000
ACHIEVE LANGUAGE ACADEMY,Minnesota,MN ,2700118,7-Independent Charter District,450,35.99,6923000,525000,5692000,706000,6625000
ACHIEVEMENT CHARTER ACADEMY,NORTH CAROLINA,NC ,3700459,7-Independent Charter District,166,11.00,1644000,403000,1067000,174000,1491000
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,NY ,3601028,7-Independent Charter District,919,29.00,0,0,0,0,13208000
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,NY ,3601109,7-Independent Charter District,865,19.00,0,0,0,0,12887000
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,CT ,0900208,7-Independent Charter District,1127,63.00,15404000,446000,12351000,2607000,15095000
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,NY ,3600969,7-Independent Charter District,1207,26.66,0,0,0,0,19477000
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,NY ,3600147,7-Independent Charter District,1299,47.39,0,0,0,0,22169000
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,NY ,3600149,7-Independent Charter District,1215,40.31,0,0,0,0,19929000
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,NY ,3600170,7-Independent Charter District,857,35.00,0,0,0,0,15026000
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,CT ,0900212,7-Independent Charter District,1163,88.00,16801000,1489000,12656000,2656000,15716000
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,NY ,3601112,7-Independent Charter District,737,22.00,0,0,0,0,11864000
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,NY ,3601124,7-Independent Charter District,778,12.00,0,0,0,0,11870000
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,RI ,4400021,7-Independent Charter District,1772,86.00,34192000,9970000,18773000,5449000,26955000
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,NY ,3601143,7-Independent Charter District,219,4.00,0,0,0,0,4806000
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,NY ,3600166,7-Independent Charter District,943,38.43,0,0,0,0,17254000
ACHIEVEMENT HOUSE CS,Pennsylvania,PA ,4200128,7-Independent Charter District,928,46.86,18418000,17579000,26000,813000,13092000
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,DC ,1100072,7-Independent Charter District,263,26.00,7108000,4382000,0,2726000,9190000
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,TN ,4700147,1-Regular local school district that is NOT a component of a supervisory union,9027,474.67,134823000,5000,91739000,43079000,134819000
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,OH ,3901602,7-Independent Charter District,169,8.00,2122000,0,1970000,152000,2085000
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,NJ ,3400794,7-Independent Charter District,264,7.00,4241000,3808000,42000,391000,2988000
ACHILLE,Oklahoma,OK ,4002370,1-Regular local school district that is NOT a component of a supervisory union,311,21.98,4231000,2135000,1397000,699000,4304000
ACKERMAN CHARTER,California,CA ,0601680,7-Independent Charter District,571,26.40,10174000,5675000,4055000,444000,6238000
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,AZ ,0400320,7-Independent Charter District,492,–,5416000,536000,4218000,662000,5208000
ACT ACADEMY CYBER CS,Pennsylvania,PA ,4200868,7-Independent Charter District,†,†,†,†,†,†,†
ACTON PUBLIC SCHOOLS,Maine,ME ,2302220,1-Regular local school district that is NOT a component of a supervisory union,217,21.00,6350000,4950000,758000,642000,6061000
ACTON-AGUA DULCE UNIFIED,California,CA ,0600001,1-Regular local school district that is NOT a component of a supervisory union,919,46.62,23416000,9836000,11464000,2116000,16441000
ACTON-BOXBOROUGH,Massachusetts,MA ,2501710,1-Regular local school district that is NOT a component of a supervisory union,5207,405.26,133646000,82379000,45663000,5604000,130746000
ACUSHNET,Massachusetts,MA ,2501740,1-Regular local school district that is NOT a component of a supervisory union,910,68.25,18117000,8250000,8316000,1551000,19781000
AD PRIMA CS,Pennsylvania,PA ,4200129,7-Independent Charter District,651,42.00,10927000,9721000,121000,1085000,9109000
ADA,Oklahoma,OK ,4002430,1-Regular local school district that is NOT a component of a supervisory union,2423,179.31,28031000,8840000,14281000,4910000,26639000
ADA EXEMPTED VILLAGE,Ohio,OH ,3904518,1-Regular local school district that is NOT a component of a supervisory union,839,54.95,12929000,6373000,5564000,992000,11644000
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700126,1-Regular local school district that is NOT a component of a supervisory union,619,49.25,10781000,2608000,7426000,747000,16712000
ADAIR,Oklahoma,OK ,4002460,1-Regular local school district that is NOT a component of a supervisory union,988,66.51,10266000,3613000,5461000,1192000,10319000
ADAIR CO. R-I,Missouri,MO ,2922980,1-Regular local school district that is NOT a component of a supervisory union,206,22.05,3362000,1460000,1393000,509000,3514000
ADAIR CO. R-II,Missouri,MO ,2905790,1-Regular local school district that is NOT a component of a supervisory union,143,23.00,2706000,1043000,1159000,504000,2393000
ADAIR COUNTY,Kentucky,KY ,2100030,1-Regular local school district that is NOT a component of a supervisory union,2594,172.00,34031000,6072000,21718000,6241000,32847000
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,IA ,1903090,1-Regular local school district that is NOT a component of a supervisory union,260,23.70,5912000,3030000,2311000,571000,4881000
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,IL ,1700162,8-Other education agencies,–,–,–,–,–,–,–
ADAMS 1 MAPLETON AU,Colorado,CO ,0800258,4-Regional Education Service Agency (RESA),†,†,†,†,†,†,†
ADAMS 12 FIVE STAR SCHOOLS,Colorado,CO ,0806900,1-Regular local school district that is NOT a component of a supervisory union,36654,2053.70,536534000,244621000,228895000,63018000,539071000
ADAMS 12 NORTHGLENN AU,Colorado,CO ,0800268,4-Regional Education Service Agency (RESA),†,†,†,†,†,†,†
ADAMS 14 COMMERCE CITY AU,Colorado,CO ,0800272,4-Regional Education Service Agency (RESA),†,†,†,†,†,†,†
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,CO ,0800237,4-Regional Education Service Agency (RESA),†,†,†,†,†,†,†
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,IN ,1800060,1-Regular local school district that is NOT a component of a supervisory union,1343,94.60,16277000,5332000,8635000,2310000,15305000
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,NE ,3102770,1-Regular local school district that is NOT a component of a supervisory union,965,73.44,18482000,14435000,3234000,813000,17647000
ADAMS COUNTY BOCES,Colorado,CO ,0800009,4-Regional Education Service Agency (RESA),†,0.00,773000,773000,0,0,728000
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,OH ,3906190,1-Regular local school district that is NOT a component of a supervisory union,3585,224.80,55208000,14658000,34660000,5890000,52967000
ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,PA ,4200905,9-Specialized public school district,6,0.00,1377000,1237000,0,140000,1168000
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,MI ,2601890,1-Regular local school district that is NOT a component of a supervisory union,453,30.09,6102000,1232000,4233000,637000,5186000
ADAMS-ARAP 28J AURORA AU,Colorado,CO ,0800255,4-Regional Education Service Agency (RESA),†,†,†,†,†,†,†
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,WI ,5500060,1-Regular local school district that is NOT a component of a supervisory union,1309,120.73,25412000,13144000,8137000,4131000,22238000
ADDISON CENTRAL SCHOOL DISTRICT,New York,NY ,3602370,1-Regular local school district that is NOT a component of a supervisory union,1047,94.00,35507000,8251000,25348000,1908000,36965000
ADDISON CENTRAL SUPERVISORY DISTRICT,Vermont,VT ,5099903,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,28.52,†,†,†,†,†
ADDISON CENTRAL UNIFIED UNION SCHOOL DISTRICT #55,VERMONT,VT ,5000402,2-Local school district that is a component of a supervisory union,1742,136.24,43836000,1176000,39770000,2890000,41382000
ADDISON COMMUNITY SCHOOLS,Michigan,MI ,2601920,1-Regular local school district that is NOT a component of a supervisory union,763,43.26,11235000,5210000,4328000,1697000,9483000
ADDISON NORTHWEST SUPERVISORY DISTRICT,Vermont,VT ,5099902,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,0.00,†,†,†,†,†
ADDISON NORTHWEST UNIFIED UNION SCHOOL DISTRICT #54,VERMONT,VT ,5000398,2-Local school district that is a component of a supervisory union,914,82.87,25726000,346000,23160000,2220000,23706000
ADDISON SD 4,Illinois,IL ,1703150,1-Regular local school district that is NOT a component of a supervisory union,3666,–,66418000,34752000,26379000,5287000,66541000
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,IA ,1903150,1-Regular local school district that is NOT a component of a supervisory union,2110,134.16,29639000,12362000,15332000,1945000,37410000
ADEL SD 21,Oregon,OR ,4100990,1-Regular local school district that is NOT a component of a supervisory union,25,1.00,601000,220000,270000,111000,472000
ADELANTE CHARTER DISTRICT,CALIFORNIA,CA ,0602343,7-Independent Charter District,302,13.00,3881000,2828000,673000,380000,3568000
ADELANTE SCHOOLS,INDIANA,IN ,1800216,7-Independent Charter District,347,20.00,4200000,4000,2989000,1207000,3794000
ADELANTO ELEMENTARY,California,CA ,0601710,1-Regular local school district that is NOT a component of a supervisory union,7817,365.99,131203000,18701000,88722000,23780000,117597000
ADELINE MONTESSORI SCHOOL INC.,WISCONSIN,WI ,5500089,7-Independent Charter District,†,†,†,†,†,†,†
ADENA LOCAL,Ohio,OH ,3904949,1-Regular local school district that is NOT a component of a supervisory union,1165,56.60,15875000,4782000,9562000,1531000,14576000
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,NY ,3605040,1-Regular local school district that is NOT a component of a supervisory union,1176,88.21,31044000,9942000,19160000,1942000,35291000
ADLAI E STEVENSON HSD 125,Illinois,IL ,1732580,1-Regular local school district that is NOT a component of a supervisory union,4315,–,164169000,118310000,43154000,2705000,175562000
ADMIRAL PEARY AVTS,Pennsylvania,PA ,4280120,9-Specialized public school district,16,16.00,4564000,3243000,1180000,141000,5052000
ADNA SCHOOL DISTRICT,Washington,WA ,5300060,1-Regular local school district that is NOT a component of a supervisory union,587,36.26,9497000,1491000,7210000,796000,9184000
ADRIAN ISD,Texas,TX ,4807500,1-Regular local school district that is NOT a component of a supervisory union,122,17.22,3126000,1332000,1625000,169000,2591000
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2702730,1-Regular local school district that is NOT a component of a supervisory union,572,42.77,8215000,1526000,5975000,714000,8144000
ADRIAN PUBLIC SCHOOLS,Michigan,MI ,2601950,1-Regular local school district that is NOT a component of a supervisory union,2797,176.76,45272000,12299000,24053000,8920000,41105000
ADRIAN R-III,Missouri,MO ,2902850,1-Regular local school district that is NOT a component of a supervisory union,701,55.56,8004000,3500000,3281000,1223000,9022000
ADRIAN SD 61,Oregon,OR ,4101020,1-Regular local school district that is NOT a component of a supervisory union,254,17.33,5475000,699000,4235000,541000,5066000
ADVANCE R-IV,Missouri,MO ,2902880,1-Regular local school district that is NOT a component of a supervisory union,446,34.50,5040000,2287000,1740000,1013000,4410000
