ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
ACADEMY WITH COMMUNITY PARTNERS  INC (79213),Arizona,AZ ,0400276,7-Independent Charter District,171,–
ACADIA ACADEMY,MAINE,ME ,2314831,7-Independent Charter District,248,4.01
ACADIA PARISH,Louisiana,LA ,2200030,1-Regular local school district that is NOT a component of a supervisory union,9601,526.22
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,LA ,2200231,7-Independent Charter District,1878,93.98
ACALANES UNION HIGH,California,CA ,0601650,1-Regular local school district that is NOT a component of a supervisory union,5420,282.04
ACCELERATED ACHIEVEMENT ACADEMY DISTRICT,CALIFORNIA,CA ,0601877,7-Independent Charter District,138,8.47
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CA ,0601471,7-Independent Charter District,500,19.02
ACCELERATED DISTRICT,CALIFORNIA,CA ,0601732,7-Independent Charter District,773,34.44
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,AZ ,0400129,7-Independent Charter District,†,†
ACCELERATED INTERMEDIATE ACADEMY,Texas,TX ,4800192,7-Independent Charter District,138,9.95
ACCELERATED LEARNING CENTER INC. (4297),Arizona,AZ ,0400121,7-Independent Charter District,153,–
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,MA ,2500578,4-Regional Education Service Agency (RESA),†,†
ACCLAIM CHARTER SCHOOL (4325),Arizona,AZ ,0400122,7-Independent Charter District,268,–
ACCOMACK COUNTY PUBLIC SCHOOLS,Virginia,VA ,5100060,1-Regular local school district that is NOT a component of a supervisory union,4726,378.00
ACE AMANDLA CHARTER SCHOOL,ILLINOIS,IL ,1701426,7-Independent Charter District,140,6.50
ACE CHARTER HIGH DISTRICT,CALIFORNIA,CA ,0601561,7-Independent Charter District,370,18.04
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,CA ,0602217,7-Independent Charter District,191,7.78
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,CA ,0601852,7-Independent Charter District,221,9.11
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,CA ,0602138,7-Independent Charter District,239,8.65
ACE PREPARATORY ACADEMY,INDIANA,IN ,1800172,7-Independent Charter District,149,15.00
ACES TECHNICAL CHARTER SCHOOL,NEW MEXICO,NM ,3500185,7-Independent Charter District,162,17.00
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,CA ,0602165,7-Independent Charter District,557,24.00
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,OH ,3901362,7-Independent Charter District,68,9.34
ACHIEVE CHARTER ACADEMY,Michigan,MI ,2600963,7-Independent Charter District,779,34.01
ACHIEVE CHARTER SCHOOL OF CHICO DISTRICT,CALIFORNIA,CA ,0602570,7-Independent Charter District,225,9.72
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,CA ,0602133,7-Independent Charter District,123,6.00
ACHIEVE COMMUNITY CHARTER SCHOOL,NEW JERSEY,NJ ,3400792,7-Independent Charter District,451,26.00
ACHIEVE LANGUAGE ACADEMY,Minnesota,MN ,2700118,7-Independent Charter District,450,37.64
ACHIEVEMENT CHARTER ACADEMY,NORTH CAROLINA,NC ,3700459,7-Independent Charter District,158,10.63
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,NY ,3601028,7-Independent Charter District,912,66.00
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,NY ,3601109,7-Independent Charter District,775,59.50
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,CT ,0900208,7-Independent Charter District,1084,53.00
