ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2022-23,Full-Time Equivalent (FTE) Teachers [District] 2022-23
KNOX CO. R-I,Missouri,MO ,2911280,1-Regular local school district that is NOT a component of a supervisory union,491,46.64
KNOX COMMUNITY SCHOOL CORP,Indiana,IN ,1805340,1-Regular local school district that is NOT a component of a supervisory union,1746,100.00
KNOX COUNTY,Tennessee,TN ,4702220,1-Regular local school district that is NOT a component of a supervisory union,60609,4127.57
KNOX COUNTY,Kentucky,KY ,2103150,1-Regular local school district that is NOT a component of a supervisory union,3943,312.74
KNOX COUNTY ESC,Ohio,OH ,3904781,4-Regional Education Service Agency (RESA),0,17.00
KNOX COUNTY JVSD,Ohio,OH ,3905114,4-Regional Education Service Agency (RESA),475,67.88
KNOX WARREN SPEC ED DISTRICTS,ILLINOIS,IL ,1701432,9-Specialized public school district,†,13.20
KNOXVILLE COMM SCHOOL DISTRICT,Iowa,IA ,1915840,1-Regular local school district that is NOT a component of a supervisory union,1674,122.21
KNOXVILLE CUSD 202,Illinois,IL ,1721390,1-Regular local school district that is NOT a component of a supervisory union,961,72.00
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Alaska,AK ,0200480,1-Regular local school district that is NOT a component of a supervisory union,2228,155.40
KOHLER SCHOOL DISTRICT,Wisconsin,WI ,5507500,1-Regular local school district that is NOT a component of a supervisory union,714,48.52
KOKOMO SCHOOL CORPORATION,Indiana,IN ,1805370,1-Regular local school district that is NOT a component of a supervisory union,5238,352.02
KOMAREK SD 94,Illinois,IL ,1721420,1-Regular local school district that is NOT a component of a supervisory union,513,43.24
KONAWA,Oklahoma,OK ,4016710,1-Regular local school district that is NOT a component of a supervisory union,544,34.42
KONOCTI UNIFIED,California,CA ,0620070,1-Regular local school district that is NOT a component of a supervisory union,3816,162.74
KOOTENAI CLASSICAL ACADEMY INC,IDAHO,ID ,1603513,7-Independent Charter District,†,†
KOOTENAI DISTRICT,Idaho,ID ,1601740,1-Regular local school district that is NOT a component of a supervisory union,210,16.00
KOPPERL ISD,Texas,TX ,4825890,1-Regular local school district that is NOT a component of a supervisory union,186,17.59
KOSCIUSKO SCHOOL DISTRICT,Mississippi,MS ,2802340,1-Regular local school district that is NOT a component of a supervisory union,2123,173.04
KOUNTZE ISD,Texas,TX ,4825920,1-Regular local school district that is NOT a component of a supervisory union,1115,93.89
KREBS,Oklahoma,OK ,4016720,1-Regular local school district that is NOT a component of a supervisory union,494,28.89
KREIVA ACADEMY PUBLIC CHARTER SCHOOL,NEW HAMPSHIRE,NH ,3303308,7-Independent Charter District,146,0.00
KREMLIN-HILLSDALE,Oklahoma,OK ,4016740,1-Regular local school district that is NOT a component of a supervisory union,289,18.34
KRESS ISD,Texas,TX ,4825950,1-Regular local school district that is NOT a component of a supervisory union,279,26.79
KRUM ISD,Texas,TX ,4825980,1-Regular local school district that is NOT a component of a supervisory union,2298,170.71
KTEC - KOOTENAI TECH ED CAMPUS,Idaho,ID ,1600167,9-Specialized public school district,19,13.50
KULM 7,North Dakota,ND ,3810500,1-Regular local school district that is NOT a component of a supervisory union,121,15.00
KUNA JOINT DISTRICT,Idaho,ID ,1601770,1-Regular local school district that is NOT a component of a supervisory union,5825,326.43
KUSPUK SCHOOL DISTRICT,Alaska,AK ,0200760,1-Regular local school district that is NOT a component of a supervisory union,318,32.00
KUTZTOWN AREA SD,Pennsylvania,PA ,4212930,1-Regular local school district that is NOT a component of a supervisory union,1355,111.53
KUUMBA ACADEMY CHARTER SCHOOL,Delaware,DE ,1000014,7-Independent Charter District,643,58.00
KYRENE ELEMENTARY DISTRICT (4267),Arizona,AZ ,0404230,1-Regular local school district that is NOT a component of a supervisory union,14401,887.26
L'ANSE AREA SCHOOLS,Michigan,MI ,2600018,1-Regular local school district that is NOT a component of a supervisory union,513,33.72
L'ANSE CREUSE PUBLIC SCHOOLS,Michigan,MI ,2621870,1-Regular local school district that is NOT a component of a supervisory union,9414,543.76
L. HOLLINGWORTH SCHOOL FOR TALENTED AND GIFTED,Ohio,OH ,3901339,7-Independent Charter District,271,19.00
LA ACADEMIA DE ESTRELLAS,Texas,TX ,4800270,7-Independent Charter District,1001,64.40
LA ACADEMIA DOLORES HUERTA,NEW MEXICO,NM ,3500166,7-Independent Charter District,66,11.14
LA ACADEMIA PARTNERSHIP CS,Pennsylvania,PA ,4200026,7-Independent Charter District,200,23.00
LA CANADA UNIFIED,California,CA ,0620130,1-Regular local school district that is NOT a component of a supervisory union,3877,162.91
LA CASA DE ESPERANZA INC.,WISCONSIN,WI ,5500073,7-Independent Charter District,225,17.60
LA CENTER SCHOOL DISTRICT,Washington,WA ,5304170,1-Regular local school district that is NOT a component of a supervisory union,1769,95.24
LA CIMA CHARTER SCHOOL,New York,NY ,3600961,7-Independent Charter District,199,17.00
LA CONNER SCHOOL DISTRICT,Washington,WA ,5304110,1-Regular local school district that is NOT a component of a supervisory union,536,40.48
LA CRESCENT MONTESSORI & STEM SCHOO,Minnesota,MN ,2700178,7-Independent Charter District,91,7.26
LA CRESCENT-HOKAH SCHOOL DISTRICT,Minnesota,MN ,2717250,1-Regular local school district that is NOT a component of a supervisory union,1028,83.55
LA CROSSE SCHOOL DISTRICT,Wisconsin,WI ,5507530,1-Regular local school district that is NOT a component of a supervisory union,5992,542.67
LA FARGE SCHOOL DISTRICT,Wisconsin,WI ,5507560,1-Regular local school district that is NOT a component of a supervisory union,250,28.00
LA FARGEVILLE CENTRAL SCHOOL DISTRICT,New York,NY ,3616380,1-Regular local school district that is NOT a component of a supervisory union,503,43.01
LA FE PREPARATORY SCHOOL,Texas,TX ,4800286,7-Independent Charter District,184,18.13
LA FERIA ISD,Texas,TX ,4826040,1-Regular local school district that is NOT a component of a supervisory union,2926,208.89
LA GLORIA ISD,Texas,TX ,4826070,1-Regular local school district that is NOT a component of a supervisory union,102,9.00
LA GRANDE SD 1,Oregon,OR ,4107200,1-Regular local school district that is NOT a component of a supervisory union,2145,125.69
LA GRANGE ISD,Texas,TX ,4826100,1-Regular local school district that is NOT a component of a supervisory union,1883,143.08
LA GRANGE SD 102,Illinois,IL ,1721600,1-Regular local school district that is NOT a component of a supervisory union,2976,234.50
LA GRANGE SD 105 SOUTH,Illinois,IL ,1721630,1-Regular local school district that is NOT a component of a supervisory union,1213,126.70
LA HABRA CITY ELEMENTARY,California,CA ,0620190,1-Regular local school district that is NOT a component of a supervisory union,4352,193.48
LA HARPE CSD 347,Illinois,IL ,1701381,1-Regular local school district that is NOT a component of a supervisory union,200,15.83
LA HONDA-PESCADERO UNIFIED,California,CA ,0620220,1-Regular local school district that is NOT a component of a supervisory union,258,18.47
LA JOYA ISD,Texas,TX ,4826130,1-Regular local school district that is NOT a component of a supervisory union,24804,1792.64
LA MESA-SPRING VALLEY,California,CA ,0620250,1-Regular local school district that is NOT a component of a supervisory union,10745,437.94
LA MOILLE CUSD 303,Illinois,IL ,1721680,1-Regular local school district that is NOT a component of a supervisory union,177,22.71
LA MONTE R-IV,Missouri,MO ,2916920,1-Regular local school district that is NOT a component of a supervisory union,306,31.20
LA PLATA R-II,Missouri,MO ,2916950,1-Regular local school district that is NOT a component of a supervisory union,311,35.95
LA PORTE ISD,Texas,TX ,4826190,1-Regular local school district that is NOT a component of a supervisory union,7100,464.86
LA PRYOR ISD,Texas,TX ,4826250,1-Regular local school district that is NOT a component of a supervisory union,491,47.02
LA SALLE CHARTER SCHOOL,MISSOURI,MO ,2900611,7-Independent Charter District,115,11.00
LA SALLE ESD 122,Illinois,IL ,1722080,1-Regular local school district that is NOT a component of a supervisory union,892,70.33
LA SALLE-PERU TWP HSD 120,Illinois,IL ,1722110,1-Regular local school district that is NOT a component of a supervisory union,1198,90.65
LA SALLE/MARSHALL/PUTNAM ROE,Illinois,IL ,1700194,8-Other education agencies,0,6.00
LA SCHOOLS FOR THE DEAF AND VISUALLY IMPAIRED,Louisiana,LA ,2200018,9-Specialized public school district,146,6.00
LA TIERRA COMMUNITY SCHOOL INC (90900),Arizona,AZ ,0400844,7-Independent Charter District,120,–
LA TIERRA MONTESSORI SCHOOL OF THE ARTS AND SCIENCES,New Mexico,NM ,3500155,7-Independent Charter District,92,6.60
LA VEGA ISD,Texas,TX ,4826280,1-Regular local school district that is NOT a component of a supervisory union,3017,192.24
LA VERNIA ISD,Texas,TX ,4826310,1-Regular local school district that is NOT a component of a supervisory union,3515,221.03
LA VETA SCHOOL DISTRICT RE-2,Colorado,CO ,0805160,1-Regular local school district that is NOT a component of a supervisory union,238,22.39
LA VIDA CHARTER DISTRICT,CALIFORNIA,CA ,0602024,7-Independent Charter District,79,5.17
LA VILLA ISD,Texas,TX ,4826340,1-Regular local school district that is NOT a component of a supervisory union,566,49.15
LA'S PROMISE CHARTER HIGH #1 DISTRICT,CALIFORNIA,CA ,0601612,7-Independent Charter District,224,17.40
LA'S PROMISE CHARTER MIDDLE #1 DISTRICT,CALIFORNIA,CA ,0602380,7-Independent Charter District,133,9.68
LABBB COLLABORATIVE,MASSACHUSETTS,MA ,2500574,4-Regional Education Service Agency (RESA),†,†
LABETTE COUNTY,Kansas,KS ,2003300,1-Regular local school district that is NOT a component of a supervisory union,1563,111.90
LABORATORY CS,Pennsylvania,PA ,4200044,7-Independent Charter District,491,–
LABRAE LOCAL,Ohio,OH ,3905024,1-Regular local school district that is NOT a component of a supervisory union,1006,67.33
LAC COURTE OREILLES OJIBWA SCHOOL,Bureau of Indian Education,BI ,5900104,1-Regular local school district that is NOT a component of a supervisory union,396,44.50
LAC DU FLAMBEAU #1 SCHOOL DISTRICT,Wisconsin,WI ,5504620,1-Regular local school district that is NOT a component of a supervisory union,515,58.57
LAC QUI PARLE VALLEY SCHOOLS,Minnesota,MN ,2700125,1-Regular local school district that is NOT a component of a supervisory union,805,54.67
LACEY TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3408100,1-Regular local school district that is NOT a component of a supervisory union,3832,330.84
LACKAWANNA CITY SCHOOL DISTRICT,New York,NY ,3616440,1-Regular local school district that is NOT a component of a supervisory union,1966,188.39
LACKAWANNA TRAIL SD,Pennsylvania,PA ,4212990,1-Regular local school district that is NOT a component of a supervisory union,956,81.15
LACKLAND ISD,Texas,TX ,4826370,1-Regular local school district that is NOT a component of a supervisory union,968,88.36
LACLEDE CO. C-5,Missouri,MO ,2917000,1-Regular local school district that is NOT a component of a supervisory union,500,32.50
LACLEDE CO. R-I,Missouri,MO ,2910110,1-Regular local school district that is NOT a component of a supervisory union,817,57.88
LACONIA SCHOOL DISTRICT,New Hampshire,NH ,3304140,1-Regular local school district that is NOT a component of a supervisory union,1834,164.00
LACROSSE,Kansas,KS ,2008220,1-Regular local school district that is NOT a component of a supervisory union,293,28.80
LACROSSE SCHOOL DISTRICT,Washington,WA ,5304150,1-Regular local school district that is NOT a component of a supervisory union,72,11.72
LADD CCSD 94,Illinois,IL ,1721510,1-Regular local school district that is NOT a component of a supervisory union,202,16.00
LADUE,Missouri,MO ,2917820,1-Regular local school district that is NOT a component of a supervisory union,4442,330.60
LADYSMITH SCHOOL DISTRICT,Wisconsin,WI ,5507590,1-Regular local school district that is NOT a component of a supervisory union,743,60.93
LAFAYETTE,Florida,FL ,1201020,1-Regular local school district that is NOT a component of a supervisory union,1144,72.00
LAFAYETTE ACADEMY CHARTER SCHOOL,LOUISIANA,LA ,2200322,7-Independent Charter District,577,34.54
LAFAYETTE CENTRAL SCHOOL DISTRICT,New York,NY ,3616410,1-Regular local school district that is NOT a component of a supervisory union,803,82.00
LAFAYETTE CHARTER FOUNDATION,LOUISIANA,LA ,2200235,7-Independent Charter District,1350,66.10
LAFAYETTE CO SCHOOL DIST,Mississippi,MS ,2802370,1-Regular local school district that is NOT a component of a supervisory union,2872,224.56
LAFAYETTE CO. C-1,Missouri,MO ,2914400,1-Regular local school district that is NOT a component of a supervisory union,980,77.70
LAFAYETTE COUNTY SCHOOL DISTRICT,Arkansas,AR ,0500065,1-Regular local school district that is NOT a component of a supervisory union,516,75.01
LAFAYETTE ELEMENTARY,California,CA ,0620310,1-Regular local school district that is NOT a component of a supervisory union,3180,146.69
LAFAYETTE PARISH,Louisiana,LA ,2200870,1-Regular local school district that is NOT a component of a supervisory union,32377,1764.49
LAFAYETTE PREPARATORY ACADEMY,Missouri,MO ,2900606,7-Independent Charter District,394,23.00
LAFAYETTE PUBLIC CHARTER SCHOOL,Minnesota,MN ,2700174,7-Independent Charter District,0,0.00
LAFAYETTE REGIONAL SCHOOL DISTRICT,New Hampshire,NH ,3304150,1-Regular local school district that is NOT a component of a supervisory union,88,8.60
LAFAYETTE SCHOOL CORPORATION,Indiana,IN ,1805400,1-Regular local school district that is NOT a component of a supervisory union,7368,516.02
LAFAYETTE TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,3408130,1-Regular local school district that is NOT a component of a supervisory union,209,23.88
LAFOURCHE PARISH,Louisiana,LA ,2200900,1-Regular local school district that is NOT a component of a supervisory union,14208,737.51
LAGO VISTA ISD,Texas,TX ,4826400,1-Regular local school district that is NOT a component of a supervisory union,1798,125.42
LAGRANGE AREA DEPT SPEC ED-LADSE,Illinois,IL ,1721590,9-Specialized public school district,0,40.47
LAGRANGE HIGHLANDS SD 106,Illinois,IL ,1719110,1-Regular local school district that is NOT a component of a supervisory union,981,76.30
LAGUNA BEACH UNIFIED,California,CA ,0620370,1-Regular local school district that is NOT a component of a supervisory union,2456,135.03
LAGUNA ELEMENTARY SCHOOL,Bureau of Indian Education,BI ,5900184,1-Regular local school district that is NOT a component of a supervisory union,204,16.50
LAGUNA JOINT ELEMENTARY,California,CA ,0620430,1-Regular local school district that is NOT a component of a supervisory union,16,2.00
LAGUNA MIDDLE SCHOOL,Bureau of Indian Education,BI ,5900050,1-Regular local school district that is NOT a component of a supervisory union,104,8.00
LAGUNITA ELEMENTARY,California,CA ,0620490,1-Regular local school district that is NOT a component of a supervisory union,76,5.00
LAGUNITAS ELEMENTARY,California,CA ,0620520,1-Regular local school district that is NOT a component of a supervisory union,160,12.08
LAINGSBURG COMMUNITY SCHOOLS,Michigan,MI ,2620550,1-Regular local school district that is NOT a component of a supervisory union,1139,68.51
LAKE,Montana,MT ,3000042,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†
LAKE,Florida,FL ,1201050,1-Regular local school district that is NOT a component of a supervisory union,47452,2719.64
LAKE AGASSIZ EDUCATION COOPERATIVE,Minnesota,MN ,2700040,9-Specialized public school district,77,6.71
LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,Alaska,AK ,0200485,1-Regular local school district that is NOT a component of a supervisory union,334,42.39
LAKE AREA CAREER & TECHNICAL CENTER,North Dakota,ND ,3880640,4-Regional Education Service Agency (RESA),†,0.00
LAKE ARTHUR MUNICIPAL SCHOOLS,New Mexico,NM ,3501470,1-Regular local school district that is NOT a component of a supervisory union,136,14.60
LAKE BENTON PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2717460,1-Regular local school district that is NOT a component of a supervisory union,117,12.14
LAKE BLUFF ESD 65,Illinois,IL ,1721720,1-Regular local school district that is NOT a component of a supervisory union,858,80.14
LAKE CENTRAL SCHOOL CORPORATION,Indiana,IN ,1805450,1-Regular local school district that is NOT a component of a supervisory union,9293,533.01
LAKE CHARLES CHARTER ACADEMY FOUNDATION INC.,Louisiana,LA ,2200158,7-Independent Charter District,989,57.37
LAKE CHARLES COLLEGE PREP,LOUISIANA,LA ,2200198,7-Independent Charter District,574,32.06
LAKE CHELAN SCHOOL DISTRICT,Washington,WA ,5301200,1-Regular local school district that is NOT a component of a supervisory union,1335,84.46
LAKE CITY AREA SCHOOL DISTRICT,Michigan,MI ,2620610,1-Regular local school district that is NOT a component of a supervisory union,1171,73.88
LAKE CITY PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2717520,1-Regular local school district that is NOT a component of a supervisory union,1203,77.89
LAKE COMO SCHOOL DISTRICT,New Jersey,NJ ,3415150,8-Other education agencies,†,†
LAKE COUNTRY CLASSICAL ACADEMY INC.,WISCONSIN,WI ,5500087,7-Independent Charter District,508,38.33
LAKE COUNTRY SCHOOL DISTRICT,Wisconsin,WI ,5500013,1-Regular local school district that is NOT a component of a supervisory union,485,35.69
LAKE COUNTY,Tennessee,TN ,4702280,1-Regular local school district that is NOT a component of a supervisory union,749,63.00
LAKE COUNTY AREA VOC SYSTEM,Illinois,IL ,1700281,4-Regional Education Service Agency (RESA),†,†
LAKE COUNTY INTERNATIONAL CHARTER DISTRICT,CALIFORNIA,CA ,0601559,7-Independent Charter District,75,4.00
LAKE COUNTY OFFICE OF EDUCATION,California,CA ,0691014,1-Regular local school district that is NOT a component of a supervisory union,34,4.94
LAKE COUNTY SCHOOL DISTRICT NO. R-1,Colorado,CO ,0805190,1-Regular local school district that is NOT a component of a supervisory union,979,65.13
LAKE COUNTY SD 7,Oregon,OR ,4107280,1-Regular local school district that is NOT a component of a supervisory union,752,50.66
LAKE CRYSTAL-WELLCOME MEMORIAL,Minnesota,MN ,2791445,1-Regular local school district that is NOT a component of a supervisory union,969,65.80
LAKE DALLAS ISD,Texas,TX ,4826430,1-Regular local school district that is NOT a component of a supervisory union,3900,288.69
LAKE ELEMENTARY,California,CA ,0620610,1-Regular local school district that is NOT a component of a supervisory union,185,8.84
LAKE ELSINORE UNIFIED,California,CA ,0600027,1-Regular local school district that is NOT a component of a supervisory union,20815,901.53
LAKE ERIE COLLEGE PREPARATORY SCHOOL,Ohio,OH ,3901499,7-Independent Charter District,279,13.00
LAKE ERIE INTERNATIONAL HIGH SCHOOL,Ohio,OH ,3900277,7-Independent Charter District,191,6.00
LAKE ESD,Oregon,OR ,4100031,4-Regional Education Service Agency (RESA),0,1.25
LAKE FENTON COMMUNITY SCHOOLS,Michigan,MI ,2620670,1-Regular local school district that is NOT a component of a supervisory union,2005,111.09
LAKE FOREST CHSD 115,Illinois,IL ,1721780,1-Regular local school district that is NOT a component of a supervisory union,1438,129.90
LAKE FOREST ELEMENTARY CHARTER SCHOOL,LOUISIANA,LA ,2200282,7-Independent Charter District,596,44.00
LAKE FOREST SCHOOL DISTRICT,Delaware,DE ,1000790,1-Regular local school district that is NOT a component of a supervisory union,3611,241.50
LAKE FOREST SD 67,Illinois,IL ,1721750,1-Regular local school district that is NOT a component of a supervisory union,1666,167.50
LAKE GENEVA J1 SCHOOL DISTRICT,Wisconsin,WI ,5507620,1-Regular local school district that is NOT a component of a supervisory union,1824,138.58
LAKE GENEVA-GENOA CITY UHS SCHOOL DISTRICT,Wisconsin,WI ,5507650,1-Regular local school district that is NOT a component of a supervisory union,1347,82.41
LAKE GEORGE CENTRAL SCHOOL DISTRICT,New York,NY ,3616470,1-Regular local school district that is NOT a component of a supervisory union,640,77.00
LAKE GRANBURY ACADEMY CHARTER SCHOOL,TEXAS,TX ,4801464,7-Independent Charter District,41,3.24
LAKE HAMILTON SCHOOL DISTRICT,Arkansas,AR ,0508610,1-Regular local school district that is NOT a component of a supervisory union,4131,247.21
LAKE HAVASU UNIFIED DISTRICT (4368),Arizona,AZ ,0404280,1-Regular local school district that is NOT a component of a supervisory union,5478,232.20
LAKE HOLCOMBE SCHOOL DISTRICT,Wisconsin,WI ,5507680,1-Regular local school district that is NOT a component of a supervisory union,270,25.95
LAKE LINDEN-HUBBELL SCHOOL DISTRICT,Michigan,MI ,2620700,1-Regular local school district that is NOT a component of a supervisory union,376,25.60
LAKE LOCAL,Ohio,OH ,3905069,1-Regular local school district that is NOT a component of a supervisory union,1581,95.10
LAKE LOCAL,Ohio,OH ,3904986,1-Regular local school district that is NOT a component of a supervisory union,3371,190.51
LAKE LURE CLASSICAL ACADEMY,North Carolina,NC ,3700318,7-Independent Charter District,442,27.91
LAKE MILLS AREA SCHOOL DISTRICT,Wisconsin,WI ,5507710,1-Regular local school district that is NOT a component of a supervisory union,1511,106.82
LAKE MILLS COMM SCHOOL DISTRICT,Iowa,IA ,1916110,1-Regular local school district that is NOT a component of a supervisory union,671,50.20
LAKE NORMAN CHARTER,North Carolina,NC ,3700064,7-Independent Charter District,2215,122.76
LAKE OF THE WOODS SCHOOL DISTRICT,Minnesota,MN ,2717570,1-Regular local school district that is NOT a component of a supervisory union,446,27.25
LAKE ORION COMMUNITY SCHOOLS,Michigan,MI ,2620730,1-Regular local school district that is NOT a component of a supervisory union,6831,446.11
LAKE OSWEGO SD 7J,Oregon,OR ,4107230,1-Regular local school district that is NOT a component of a supervisory union,6867,390.04
LAKE PARK AUDUBON SCHOOL DISTRICT,Minnesota,MN ,2700162,1-Regular local school district that is NOT a component of a supervisory union,722,58.84
LAKE PARK CHSD 108,Illinois,IL ,1721840,1-Regular local school district that is NOT a component of a supervisory union,2560,169.15
LAKE PEND OREILLE SCHOOL DISTRICT,Idaho,ID ,1600002,1-Regular local school district that is NOT a component of a supervisory union,3822,233.41
LAKE PLACID CENTRAL SCHOOL DISTRICT,New York,NY ,3616500,1-Regular local school district that is NOT a component of a supervisory union,570,74.01
LAKE PLEASANT CENTRAL SCHOOL DISTRICT,New York,NY ,3616530,1-Regular local school district that is NOT a component of a supervisory union,74,17.00
LAKE PRESTON SCHOOL DISTRICT 38-3,South Dakota,SD ,4639990,1-Regular local school district that is NOT a component of a supervisory union,187,20.18
LAKE QUINAULT SCHOOL DISTRICT,Washington,WA ,5307050,1-Regular local school district that is NOT a component of a supervisory union,196,15.00
LAKE REGION SPECIAL ED UNIT,North Dakota,ND ,3880280,4-Regional Education Service Agency (RESA),†,0.00
LAKE REGION UNION ELEMENTARY MIDDLE SCHOOL DISTRICT,VERMONT,VT ,5000436,2-Local school district that is a component of a supervisory union,733,58.30
LAKE REGION UNION HIGH SCHOOL DISTRICT #24,Vermont,VT ,5005050,2-Local school district that is a component of a supervisory union,392,32.50
LAKE RIDGE NEW TECH SCHOOLS,Indiana,IN ,1805460,1-Regular local school district that is NOT a component of a supervisory union,1619,95.00
LAKE ROE,Illinois,IL ,1700193,8-Other education agencies,0,35.50
LAKE SHORE PUBLIC SCHOOLS (MACOMB),Michigan,MI ,2632670,1-Regular local school district that is NOT a component of a supervisory union,3239,177.68
LAKE STATION COMMUNITY SCHOOLS,Indiana,IN ,1802910,1-Regular local school district that is NOT a component of a supervisory union,1125,71.00
LAKE STEVENS SCHOOL DISTRICT,Washington,WA ,5304200,1-Regular local school district that is NOT a component of a supervisory union,9687,504.35
LAKE SUPERIOR ACADEMY,MICHIGAN,MI ,2601093,7-Independent Charter District,85,4.48
LAKE SUPERIOR PUBLIC SCHOOL DIST.,Minnesota,MN ,2740740,1-Regular local school district that is NOT a component of a supervisory union,1325,89.78
LAKE TAHOE UNIFIED,California,CA ,0620640,1-Regular local school district that is NOT a component of a supervisory union,3648,181.92
LAKE TRAVIS ISD,Texas,TX ,4826470,1-Regular local school district that is NOT a component of a supervisory union,11399,684.92
LAKE VALLEY NAVAJO SCHOOL,Bureau of Indian Education,BI ,5900125,1-Regular local school district that is NOT a component of a supervisory union,33,2.00
LAKE VIEW CHARTER DISTRICT,CALIFORNIA,CA ,0602520,7-Independent Charter District,723,24.16
LAKE VIEW PLT. PUBLIC SCHOOLS,Maine,ME ,2300059,1-Regular local school district that is NOT a component of a supervisory union,2,0.00
LAKE VILLA CCSD 41,Illinois,IL ,1721870,1-Regular local school district that is NOT a component of a supervisory union,2442,170.00
LAKE WALES CHARTER SCHOOLS,Florida,FL ,1200080,7-Independent Charter District,4925,258.00
LAKE WASHINGTON INSTITUTE OF TECHNOLOGY,Washington,WA ,5300313,8-Other education agencies,577,0.00
LAKE WASHINGTON SCHOOL DISTRICT,Washington,WA ,5304230,1-Regular local school district that is NOT a component of a supervisory union,30991,1758.46
LAKE WORTH ISD,Texas,TX ,4826490,1-Regular local school district that is NOT a component of a supervisory union,3447,257.63
LAKE ZURICH CUSD 95,Illinois,IL ,1721900,1-Regular local school district that is NOT a component of a supervisory union,5626,410.85
LAKE-LEHMAN SD,Pennsylvania,PA ,4213020,1-Regular local school district that is NOT a component of a supervisory union,1573,122.50
LAKEHURST SCHOOL DISTRICT,New Jersey,NJ ,3408160,1-Regular local school district that is NOT a component of a supervisory union,379,37.80
LAKELAND,TENNESSEE,TN ,4700154,1-Regular local school district that is NOT a component of a supervisory union,2132,141.66
LAKELAND ACADEMY COMMUNITY SCHOOL,Ohio,OH ,3901363,7-Independent Charter District,97,0.00
LAKELAND CENTRAL SCHOOL DISTRICT,New York,NY ,3616620,1-Regular local school district that is NOT a component of a supervisory union,5418,479.15
LAKELAND DISTRICT,Idaho,ID ,1601800,1-Regular local school district that is NOT a component of a supervisory union,4693,278.46
LAKELAND R-III,Missouri,MO ,2910520,1-Regular local school district that is NOT a component of a supervisory union,413,54.67
LAKELAND REGIONAL HIGH SCHOOL DISTRICT,New Jersey,NJ ,3408190,1-Regular local school district that is NOT a component of a supervisory union,878,81.60
LAKELAND SCHOOL CORPORATION,Indiana,IN ,1805520,1-Regular local school district that is NOT a component of a supervisory union,1605,111.00
LAKELAND SD,Pennsylvania,PA ,4213050,1-Regular local school district that is NOT a component of a supervisory union,1377,101.00
LAKELAND UHS SCHOOL DISTRICT,Wisconsin,WI ,5509630,1-Regular local school district that is NOT a component of a supervisory union,745,57.83
LAKEPORT UNIFIED,California,CA ,0620670,1-Regular local school district that is NOT a component of a supervisory union,1349,74.77
LAKES INTERNATIONAL LANGUAGE ACADEM,Minnesota,MN ,2700358,7-Independent Charter District,1301,82.56
LAKESHORE INTERGENERATIONAL SCHOOL,OHIO,OH ,3901564,7-Independent Charter District,184,12.00
LAKESHORE SCHOOL DISTRICT (BERRIEN),Michigan,MI ,2620820,1-Regular local school district that is NOT a component of a supervisory union,2688,158.16
LAKESIDE CHARTER ACADEMY,North Carolina,NC ,3700371,7-Independent Charter District,235,17.00
LAKESIDE JOINT,California,CA ,0620700,1-Regular local school district that is NOT a component of a supervisory union,74,4.00
LAKESIDE SCHOOL,Oklahoma,OK ,4000063,8-Other education agencies,48,–
LAKESIDE SCHOOL DISTRICT,Arkansas,AR ,0508670,1-Regular local school district that is NOT a component of a supervisory union,3466,245.60
LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY),Arkansas,AR ,0508640,1-Regular local school district that is NOT a component of a supervisory union,889,89.90
LAKESIDE UNION,California,CA ,0620730,1-Regular local school district that is NOT a component of a supervisory union,1570,60.81
LAKESIDE UNION ELEMENTARY,California,CA ,0620760,1-Regular local school district that is NOT a component of a supervisory union,238,14.00
LAKESIDE UNION ELEMENTARY,California,CA ,0620790,1-Regular local school district that is NOT a component of a supervisory union,4538,204.79
LAKEVIEW ACADEMY,Utah,UT ,4900043,7-Independent Charter District,1010,48.03
LAKEVIEW COMMUNITY SCHOOLS,Nebraska,NE ,3100112,1-Regular local school district that is NOT a component of a supervisory union,952,67.46
LAKEVIEW COMMUNITY SCHOOLS (MONTCALM),Michigan,MI ,2620910,1-Regular local school district that is NOT a component of a supervisory union,1037,62.80
LAKEVIEW LOCAL,Ohio,OH ,3905018,1-Regular local school district that is NOT a component of a supervisory union,1572,82.13
LAKEVIEW PUBLIC SCHOOLS (MACOMB),Michigan,MI ,2620880,1-Regular local school district that is NOT a component of a supervisory union,4287,214.24
LAKEVIEW SCH. DISTRICT (CALHOUN),Michigan,MI ,2620850,1-Regular local school district that is NOT a component of a supervisory union,3988,228.03
LAKEVIEW SCHOOL DISTRICT,Minnesota,MN ,2700088,1-Regular local school district that is NOT a component of a supervisory union,713,44.55
