,state.abb,id,name,ncesID,name_nces,note
287,MN,34819,independent school district no. 129,2721320,MONTEVIDEO PUBLIC SCHOOL DISTRICT,
288,MA,224403,gateway regional school district,,,
289,MN,1238608,independent school district no. 23,2712360,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,
290,NC,224942,north east preparatory school,,,
291,IL,1267739,monmouth-rosevile community unit school district no. 238,,,
292,ME,224486,regional school unit no. 26,,,
293,MT,224898,sch dst 8 yellowstone county,,,
294,MN,282383,independent school district no. 75,2733480,ST. CLAIR PUBLIC SCHOOL DISTRICT,
295,MN,282350,independent school district no. 775,2717120,KERKHOVEN-MURDOCK-SUNBURG,
296,NM,40492,central region educational cooperative no. 5,,,
297,ND,1211699,central cass public school district,,,
298,MA,942795,franklin county technical school district,,,
299,MN,282307,independent school district no. 2854,,,
300,MT,1268576,laurel public schools,,,
301,NM,1268622,cimarron muncipal school district,,,
302,KS,33492,unified school district no. 379,,,
303,MT,1268575,bigfork school district,,,
304,MN,1238621,independent school district no. 2910,2700480,Ada-Borup-West Public Schools,
305,MA,282216,hampshire regional school district,,,
306,WI,1239662,west iron county public schools,,,
307,KS,296159,unified school district no. 101,,,
308,WI,401177,school district of belleville,,,
309,VA,1265770,radford city school board,,,
310,NM,1238946,cimarron municipal school district no. 3,,,
311,MN,282306,independent school district no. 2835,2791451,JANESVILLE-WALDORF-PEMBERTON,
312,OK,1240817,thomas-fay-custer unified independent school district no. 1-07,,,
313,NM,44214,pueblo of laguna department of education,,,
314,AL,1268799,orange beach board of education,0103581,Orange Beach City,
315,MT,1240574,school district number no. 8,,,
316,KS,1268501,united school district no. 357,,,
317,ME,93960,regional school unit no. 64,,,
318,ME,1268674,regional school unit 10,,,
319,MT,224904,monforton school district,,,
320,PA,1239337,bethlehem area vocational-technical school,,,
321,MN,1238606,independent school district no. 2168,2700089,NRHEG SCHOOL DISTRICT,
322,MN,1267904,independent school district 740,2720550,MELROSE PUBLIC SCHOOL DISTRICT,
323,KS,224320,unified school district no. 362,,,
324,IL,1267710,"northwest suburban special education organization, seja no. 805",,,
325,MT,398575,somers school district,,,
326,NY,1268071,york central school,,,
327,ND,1267953,stanley public school district no. 1,,,
328,OH,1239202,urban community school,,,
329,NY,1268431,galeton area school district,,,
330,WI,99221,school district of weyauwega-fremont,,,
331,KS,224316,unified school district no. 287,,,
332,NJ,1240267,methuchen board of education,,,
333,MT,1268858,polson school district,,,
334,MA,224419,northern berkshire vocational regional school district,,,
335,ND,108405,beulah public school district,,,
336,KS,224319,unified school district no. 352,,,
337,MN,1240215,independent school district no. 424,2702640,LESTER PRAIRIE PUBLIC SCHOOL DIST.,
338,NJ,1268004,hunterdon central regional high school,,,
339,KS,583286,southern lyon county usd no. 252,,,
340,KS,224312,unified school district no. 206,,,
341,OK,1240787,mooreland independent school district no. 2,,,
342,IN,224263,cook county school district 130,,,
343,MT,64954,sidney school districts no. 1 & 5,,,
344,KY,224729,berea indepemdent school district,,,
345,NJ,1240628,roselle public schools,,,
346,OH,1268465,lynchburg clary local school district,,,
347,MN,282325,independent school district no. 763,2719320,MEDFORD PUBLIC SCHOOL DISTRICT,
348,KS,224330,unified school district no. 487,,,
349,WY,1268231,crook county school district 1,,,
350,GA,1266745,seminole county board of edcuation,,,
351,NY,1238977,alfred-almond central school,,,
352,PA,228915,williamsburg community school district,,,
353,MO,1267917,east prairie reorganized school district ii,,,
354,CO,1143199,la veta public schools,,,
355,IL,1267740,mount vernon township high school district 201,,,
356,MT,1266537,jefferson high school district no. 1,,,
357,NJ,1268003,hoboken public school,,,
358,CO,1268569,pikes peak board of cooperative educational services,,,
359,VT,230520,mount mansfield unified union school district,,,
360,WI,1268228,weyauwega-fremont school district,,,
361,KS,224285,unified school district no. 312,,,
362,OH,83659,maplewood career center,,,
363,MO,35198,cameron r-i school district,,,
364,MN,282341,independent school district no. 2890,2700163,Renville County West Schools,
365,MS,1268696,sidney school district no. 1 and 5,,,
366,MA,224416,nashoba valley technical high school,,,
367,NM,1240643,texico municipal schools,,,
368,NH,1238887,pemi-baker regional school district,,,
369,WI,230699,pardeeville area school district,,,
370,MN,290640,independent school district no. 881,2718810,MAPLE LAKE PUBLIC SCHOOL DISTRICT,
371,NC,1238743,alamance community school,,,
372,MT,1268509,arlee school district,,,
373,MN,1266242,independent school district no. 803,2742330,Wheaton Area Public School District,
374,CO,223935,montezuma county (dolores) school district re-4a,,,
375,KS,224310,unified school district no. 404,,,
376,MT,400503,roundup public school districts no. 55 and 55h,,,
377,NH,1265309,hollis school district,,,
378,WI,1239865,southwestern wisconsin community school district,,,
379,MT,1267940,glendive public schools,,,
380,IL,1238193,herscher communit unit school district no. 2,,,
381,NM,225290,southwest regional education cooperative no. 10,,,
382,IN,65297,lake ridge school corporation,,,
383,CO,64782,calhan school district rj-1,,,
384,MN,1238614,independent school district no. 195,2730150,Randolph School District,
385,MN,157060,independent school district no. 139,2732550,RUSH CITY PUBLIC SCHOOL DISTRICT,
386,OH,82567,belmont-harrison vocational school district,,,
387,ID,32724,fremont county school district 215,,,
388,MO,224844,blair oaks r-2 school district,,,
389,WI,1242950,wilmot union high school district,,,
390,MT,1268919,miles city public schools,,,
391,CO,1034701,baca county school district re-4,,,
392,MT,1268578,roundup public schools districts no. 55 and 55h,,,
393,KS,1238293,usd 337 - royal valley,,,
394,OH,1268716,greenbrier county board of education,,,
395,NH,1240596,haverhill cooperative school district,,,
396,WI,230595,brillion public schools,,,
397,WI,230628,school district of fall creek,,,
398,IL,224147,lincolnshire prairie-view school disitrct no. 103,,,
399,NY,1268625,bais esther school for girls,,,
400,IL,224123,galena unit school district no. 120,,,
401,OH,1268432,southern local school,,,
402,MN,1238624,independent school district no. 414,2721270,Minneota Public School District,
403,IL,1268355,dakota comm unit school district 201,,,
404,MN,282313,independent school district no. 550,2740830,UNDERWOOD PUBLIC SCHOOL DISTRICT,
405,MO,1267938,warren county school district r3,,,
406,MN,282285,cook county school dist 166,2713110,Cook County Public Schools ,
407,MN,1238597,independent school district no. 166,2713110,Cook County Public Schools ,
408,CA,146475,pacific union elementary school district (humboldt county),,,
409,IL,224070,boubonnais elementary school district no. 53,,,
410,KS,93936,unified school district no. 321,,,
411,MO,282439,ralls county r-2 school district,,,
412,MN,282326,independent school district no. 786,2705430,BERTHA-HEWITT PUBLIC SCHOOL DIST,
413,MN,282355,independent school district no. 857,2718090,Lewiston-Altura Public School Dist,
414,TX,1268173,cumby collegiate independent school district,,,
415,WI,1239643,school district of hartford joint no. 1,,,
416,PA,1266040,butler county area vocational-technical school,,,
417,MN,1267896,independent school district 2169,2700090,Murray County Central School District,
418,MN,988500,independent school district no. 2169,2700090,Murray County Central School District,
419,TN,1268744,green dot public schools tennesse,,,
420,WY,1268235,weston county school district no. one,,,
421,KS,1267767,unified school district 461,,,
422,WI,230734,school district of clear lake,,,
423,IL,1238345,community school district no. 140,,,
424,KS,224321,unified school district no. 389,,,
425,WI,1268223,school district of luck,,,
426,ID,224634,future public school,,,
427,ME,224475,maine school administrative district no. 32,,,
428,MT,398579,west valley public schools,,,
429,NH,54395,milton new hampshire school district,,,
430,KS,1240290,usd 400 - smoky valley,,,
431,IL,40326,lagrange area department of special education,,,
432,OR,86185,central linn school district no. 552c,,,
433,MS,1268438,dillon school district no. 10,,,
434,IL,1265315,river grove school district no. 85 ¬Ω,,,
435,ND,149722,four winds elementary school,,,
436,KS,1035808,unified school district no. 240,,,
437,KS,1267769,halstead-bentley unified school district no. 440,,,
438,VT,1268205,barre unified union school district,,,
439,MO,1267927,mountain view-birch tree r-iii school district,,,
440,MN,282328,independent school district no. 837,2718570,Madelia School District,
441,NY,1268368,bolivar-richburg central school,,,
442,WI,1239640,school district of eleva-strum,,,
443,MN,282308,independent school district no. 2903,2700328,Ortonville School District,
444,MN,167852,meeker and wright special education cooperative,2700045,MEEKER AND WRIGHT SPECIAL EDUCATION,
445,MT,224897,cut bank school dist. 15,,,
446,MN,1238607,independent school district no. 229,2717910,LANESBORO PUBLIC SCHOOL DISTRICT,
447,TX,44655,education service center region no. 6,,,
448,CA,1268917,banta unified school district,,,
449,CA,67628,new castle elementary,,,
450,ME,33942,regional school unit no. 80,,,
451,KS,224324,cimarron unified school district no. 102,,,
452,MN,1265904,independent school district no. 495,2713140,GRAND MEADOW PUBLIC SCHOOL DISTRICT,
453,ND,1268516,eight mile public school district n. 6,,,
454,FL,69527,learning gate community school,,,
455,WI,1239658,union grove joint school district no. 1,,,
456,IA,162893,central commuity school district,,,
457,SD,1240328,faulkton area schools district no. 24-4,,,
458,MT,1265958,school district no. 23,,,
459,OH,84386,southern hills joint vocational school district,,,
460,NY,1268032,giilbertsville-mount upton central school district,,,
461,MN,282303,independent school district no. 2342,2700104,WEST CENTRAL AREA,
462,OR,1268123,monroe school district,,,
463,MN,290644,independent school district no. 547,2728110,PARKERS PRAIRIE PUBLIC SCHOOL DIST,
464,KS,1238287,unified school district no. 408,,,
465,NM,1240642,hagerman municipal schools,,,
466,MS,1268778,white sulphur springs district no. 8,,,
467,IL,48310,momence community schools unit district no. 1,,,
468,WY,282978,niobrara county school district no. 1,,,
469,VT,1222174,north country union high school,,,
470,AK,1268746,yukon flats school district,0200775,,
471,KS,1268502,unified school district no. 307,,,
472,NH,1238888,plymouth school district,,,
473,KS,1267772,unified school district 483 kismet-plains,,,
474,ID,1267668,soda springs school district no. 150,,,
475,PA,38166,western area career & technology center,,,
476,KS,224309,unified school district no. 343,,,
477,AK,31588,lake and peninsula school district,0200485,,
478,WI,1240979,school district of prentice,,,
479,MT,1240575,eureka public schools,,,
480,WA,1266270,kennewick school district,,,
481,CA,146307,liberty elementary school district (tulare county),,,
482,KS,1267754,unified school district no. 410,,,
483,WI,230725,school district of auburndale,,,
484,MN,1267909,souther minnesota education consortium 6083-52,2700327,SOUTHERN MN EDUCATION CONSORTIUM,
485,CA,31693,modoc county office of education,,,
486,MN,1238647,independent school district no. 577,2742750,WILLOW RIVER PUBLIC SCHOOL DISTRICT,
487,ME,224488,maine school administrative no. 23,,,
488,KS,1267764,unified school district 249,,,
489,MN,64936,south central service cooperative,2700080,Region 9-South Central Service Coop,
490,PA,1239355,erie county technical school,,,
491,KS,282190,unified school district no. 315,,,
492,ND,1268700,new england plubic school district no. 9,,,
493,ME,1036655,boothbay boothbay harbor community school district,,,
494,NH,1035600,wakefield new hampshire school district,,,
495,MT,399706,conrad public schools,,,
496,ID,224656,soda springs joint school district no. 150,,,
497,OH,1268717,logan county board of education,,,
498,MT,1268512,eureka school district,,,
499,FL,1266511,idea hope and victory,,,
500,ND,108502,velva public school district no. 1,,,
501,WA,1265396,catalyst public schools,,,
502,KS,224318,unified school district no. 331,,,
503,CA,146800,woodville union school district,,,
504,ME,1267841,maine school administrative district no. 23,,,
505,ND,108494,surrey public school district,,,
506,KS,224325,unified school district no. 215,,,
507,MN,282271,independent school district no. 308,2723370,NEVIS PUBLIC SCHOOL DISTRICT,
508,MT,1266225,plentywood school district no. 20,,,
